Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1994,23,DAL,RT,73,16,10,,,,,,,,,,,0,,,,,,,5,
1995*,24,DAL,RG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,14,AP2 PB
1996*+,25,DAL,RG,73,16,16,,,,,,,,,,,0,,,,,,,12,AP1 PB
1997*+,26,DAL,RG,73,16,16,,,,,,,,,,,0,,,,,,,14,AP1 PB
1998*+,27,DAL,LT,73,16,16,,,,,,,,,,,0,,,,,,,16,AP1 PB
1999*+,28,DAL,LG,73,11,11,,,,,,,,,,,0,,,,,,,10,AP1 PB
2000*+,29,DAL,LG,73,16,16,,,,,,0,0,2,0,0,0,,,,,,,12,AP1 PB
2001*+,30,DAL,LG,73,16,16,,,,,,,,,,,0,,,,,,,11,AP1 PB
2002,31,DAL,lg,73,5,5,,,,,,,,,,,0,,,,,,,1,
2003*,32,DAL,LG,73,16,16,,,,,,,,,,,0,,,,,,,9,PB
2004*,33,DAL,LG,73,16,16,,,,,,,,,,,0,,,,,,,9,PB
2005*,34,DAL,LG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,10,PB
2006*,35,SFO,LG,71,11,11,,,,,,,,,,,0,,,,,,,6,PB
2007,36,SFO,LG,71,16,16,,,,,,,,,,,0,,,,,,,5,
Career,,,,,203,197,,,,,,0,0,4,0,0,0,,,,,,,134,
12 yrs,,DAL,,,176,170,,,,,,0,0,4,0,0,0,,,,,,,123,
2 yrs,,SFO,,,27,27,,,,,,,,,,,0,,,,,,,11,
