Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2004,21,ARI,WR,11,16,16,115,58,780,13.4,8,37,48,3.6,48.8,50.40%,6.8,8,14,0,2,10,1.8,0.9,0.5,66,12,794,8,1,6,
2005*,22,ARI,WR,11,16,16,165,103,1409,13.7,10,68,47,6.4,88.1,62.40%,8.5,8,41,0,3,15,5.1,2.6,0.5,111,13.1,1450,10,0,10,PB
2006,23,ARI,WR,11,13,13,111,69,946,13.7,6,52,57,5.3,72.8,62.20%,8.5,,,,,,,,,69,13.7,946,6,0,8,
2007*,24,ARI,WR,11,15,15,167,100,1409,14.1,10,70,48,6.7,93.9,59.90%,8.4,,,,,,,,,100,14.1,1409,10,3,12,PB
2008*+,25,ARI,WR,11,16,16,154,96,1431,14.9,12,66,78,6,89.4,62.30%,9.3,,,,,,,,,96,14.9,1431,12,1,14,AP1 PB
2009*,26,ARI,WR,11,16,16,153,97,1092,11.3,13,68,34,6.1,68.3,63.40%,7.1,,,,,,,,,97,11.3,1092,13,0,9,AP2 PB
2010*,27,ARI,WR,11,16,15,173,90,1137,12.6,6,58,41,5.6,71.1,52.00%,6.6,,,,,,,,,90,12.6,1137,6,0,7,PB
2011*,28,ARI,WR,11,16,16,154,80,1411,17.6,8,60,73,5,88.2,51.90%,9.2,,,,,,,,,80,17.6,1411,8,0,10,AP2 PB
2012*,29,ARI,WR,11,16,16,156,71,798,11.2,4,45,37,4.4,49.9,45.50%,5.1,,,,,,,,,71,11.2,798,4,0,5,PB
2013*,30,ARI,WR,11,16,16,135,82,954,11.6,10,49,75,5.1,59.6,60.70%,7.1,2,8,0,0,4,4,0.5,0.1,84,11.5,962,10,1,7,PB
2014,31,ARI,WR,11,14,13,103,63,784,12.4,2,39,80,4.5,56,61.20%,7.6,,,,,,,,,63,12.4,784,2,1,6,
2015*,32,ARI,WR,11,16,16,145,109,1215,11.1,9,65,44,6.8,75.9,75.20%,8.4,,,,,,,,,109,11.1,1215,9,2,11,PB
2016*,33,ARI,WR,11,16,16,150,107,1023,9.6,6,60,33,6.7,63.9,71.30%,6.8,2,5,0,0,4,2.5,0.3,0.1,109,9.4,1028,6,2,9,PB
2017*,34,ARI,WR,11,16,16,161,109,1156,10.6,6,65,37,6.8,72.3,67.70%,7.2,,,,,,,,,109,10.6,1156,6,1,8,PB
2018,35,ARI,WR,11,16,16,112,69,734,10.6,6,39,37,4.3,45.9,61.60%,6.6,,,,,,,,,69,10.6,734,6,0,5,
2019,36,ARI,WR,11,16,16,109,75,804,10.7,4,40,54,4.7,50.3,68.80%,7.4,,,,,,,,,75,10.7,804,4,1,7,
2020,37,ARI,WR,11,13,13,72,54,409,7.6,1,25,18,4.2,31.5,75.00%,5.7,,,,,,,,,54,7.6,409,1,0,4,
Career,,,,,263,261,2335,1432,17492,12.2,121,906,80,5.4,66.5,61.30%,7.5,20,68,0,5,15,3.4,0.3,0.1,1452,12.1,17560,121,13,138,
