Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960+,22,NYT,LLB,60,14,14,5,13,0,7,,,1,0,0,0,2,,11,AP1
1961+,23,NYT,RLB,60,11,9,1,30,0,30,,,,,,,2,,9,AP1
1962*+,24,NYT,RLB,60,14,11,2,2,0,2,,,,,,,5,,11,AP1 PB
1963*+,25,NYJ,RLB,60,14,14,3,89,0,41,,,,,,,3,,10,AP1 PB
1964*+,26,NYJ,RLB,60,14,14,2,32,0,32,,,,,,,8.5,,13,AP1 PB
1965,27,NYJ,RLB,60,14,13,1,0,0,0,,,,,,,0,,11,AP2
1966*,28,NYJ,RLB,60,14,13,1,14,0,14,,,1,0,0,0,2.5,,8,PB
1967,29,NYJ,RLB,60,14,13,5,77,0,36,,,,,,,3,,11,AP2
1968,30,NYJ,RLB,60,13,13,,,,,,,,,,,4,,11,AP2
1969*,31,NYJ,RLB,60,14,14,,,,,,,0,2,0,0,1.5,,9,PB
1970,32,NYJ,RLB,60,14,14,3,51,1,41,,,0,3,0,0,4.5,,9,
1971,33,NYJ,RLB,60,14,14,1,0,0,0,,,0,3,0,0,2,,7,
1972,34,NYJ,RLB,60,11,10,,,,,,,0,2,4,0,0.5,,5,
Career,,,,,175,166,24,308,1,41,,,2,10,4,1,38.5,,125,
