Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1967,22,SDG,g,73,10,0,,,,,,,,,,,0,,3,
1968,23,SDG,g,73,14,3,,,,,,,0,1,0,0,0,,2,
1969*,24,MIA,RG,66,12,10,,,,,,,,,,,0,,5,PB
1970,25,MIA,RG,66,14,14,,,,,,,,,,,0,,8,
1971*+,26,MIA,RG,66,14,14,,,,,,,0,1,0,0,0,,13,AP1 PB
1972*+,27,MIA,RG,66,14,14,,,,,,,,,,,0,,16,AP MVP-8 AP OPoY-7 AP1 PB
1973*+,28,MIA,RG,66,13,13,,,,,,,,,,,0,,14,AP1 PB
1974*+,29,MIA,RG,66,14,14,,,,,,,,,,,0,,16,AP1 PB
1975+,30,MIA,RG,66,14,14,,,,,,,0,1,0,0,0,,16,AP1
1976,31,MIA,RG/rt,66,14,14,,,,,,,0,1,0,0,0,,9,
1977,32,MIA,RG,66,14,13,,,,,,,0,1,0,0,0,,13,AP2
1978,33,MIA,RG,66,16,15,,,,,,,,,,,0,,11,AP2
1979,34,MIA,RG,66,15,14,,,,,,,0,1,0,0,0,,6,
1980,35,MIA,g,66,5,3,,,,,,,,,,,0,,1,
Career,,,,,183,155,,,,,,,0,6,0,0,0,,133,
12 yrs,,MIA,,,159,152,,,,,,,0,5,0,0,0,,128,
2 yrs,,SDG,,,24,3,,,,,,,0,1,0,0,0,,5,
