Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1960,22,STL,FS,8,11,11,2,4,0,4,,,1,3,7,0,0,,7,
1961,23,STL,FS,8,11,11,3,36,0,25,,,0,3,36,0,3.5,1,7,
1962*,24,STL,FS,8,14,14,2,59,1,57,,,0,1,0,0,5,,8,PB
1963*,25,STL,FS,8,14,12,4,67,0,36,,,0,2,42,1,0,,10,PB
1964,26,STL,FS,8,14,13,3,44,1,42,,,0,1,0,0,4,,6,
1965*,27,STL,FS,8,10,8,6,153,1,96,,,,,,,1,,8,PB
1966*+,28,STL,FS,8,14,14,10,180,2,91,,,,,,,0.5,,15,AP MVP-2 UPI MVP-2 AP1 PB
1967*+,29,STL,FS,8,14,14,4,75,0,44,,,,,,,4.5,,11,AP1 PB
1968*+,30,STL,FS,8,14,14,4,14,0,8,,,,,,,0,,13,AP1 PB
1969*+,31,STL,FS,8,14,14,2,15,0,15,,,0,1,88,1,1,,8,AP1 PB
1970*+,32,STL,FS,8,13,13,5,72,0,22,,,0,1,0,0,1.5,,14,AP1 PB
1971,33,STL,FS/ss,8,14,13,4,46,0,23,,,,,,,0,,7,
1972,34,STL,SS,8,12,12,3,35,0,24,,,1,2,0,0,0,,7,
Career,,,,,169,163,52,800,5,96,,,2,14,173,2,21,1,121,
