Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1981*+,22,NYG,ROLB,56,16,16,1,1,0,1,,,1,1,4,0,9.5,,18,AP DRoY-1 AP DPoY-1 AP1 PB
1982*+,23,NYG,ROLB,56,9,8,1,97,1,97,,,,,,,7.5,,16,AP DPoY-1 AP1 PB
1983*+,24,NYG,ROLB/RIL,56,16,16,2,10,0,10,,,1,2,3,0,9,,18,AP DPoY-4 AP1 PB
1984*+,25,NYG,ROLB,56,16,16,1,-1,0,-1,,,,,,,11.5,,16,AP DPoY-2 AP1 PB
1985*+,26,NYG,ROLB,56,16,16,,,,,,,0,2,25,0,13,,23,AP1 PB
1986*+,27,NYG,ROLB,56,16,16,,,,,,,,,,,20.5,,17,AP MVP-1 AP DPoY-1 AP1 PB
1987*,28,NYG,ROLB,56,12,11,3,16,0,15,,,,,,,12,,13,AP2 PB
1988*+,29,NYG,ROLB,56,12,12,,,,,,,0,1,0,0,15.5,,14,AP DPoY-6 AP1 PB
1989*+,30,NYG,ROLB,56,16,15,,,,,,,,,,,15,,19,AP1 PB
1990*,31,NYG,ROLB,56,16,16,1,11,1,11,,,0,1,0,0,10.5,,18,AP2 PB
1991,32,NYG,ROLB,56,14,14,,,,,,,0,2,0,0,7,,7,
1992,33,NYG,ROLB,56,9,9,,,,,,,0,1,2,0,5,,4,
1993,34,NYG,ROLB,56,16,15,,,,,,0,0,1,0,0,6,,9,
Career,,,,,184,180,9,134,2,97,,0,2,11,34,0,142,,192,
