Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1967*,22,DET,LCB,20,14,14,10,232,3,71,,,2,0,-5,0,0,,14,AP DRoY-1 UPI RoY-3 PB
1968*+,23,DET,LCB,20,14,14,7,82,0,62,,,5,5,0,0,0,,18,AP1 PB
1969*+,24,DET,LCB,20,13,13,8,126,0,32,,,3,2,25,0,0,,23,AP1 PB
1970,25,DET,LCB,20,13,13,7,168,2,49,,,2,0,0,0,0,,11,
1971,26,DET,LCB,20,9,7,3,78,1,28,,,5,2,0,0,0,,4,
1972*,27,DET,LCB,20,14,14,3,88,0,64,,,1,1,20,0,0,,9,PB
1973*,28,DET,LCB,20,14,14,4,130,0,38,,,3,3,0,0,0,,10,PB
1974,29,DET,LCB,20,13,12,4,61,0,39,,,,,,,0,,5,
1975*,30,DET,LCB,20,10,10,5,23,0,13,,,0,1,74,0,0,,10,PB
1976*,31,DET,LCB,20,14,14,2,62,1,26,,,4,1,0,0,0,,11,PB
1977,32,DET,RCB,20,12,11,3,27,0,22,,,0,2,49,0,0,,7,
Career,,,,,140,136,56,1077,7,71,,,25,17,163,0,0,,122,
