Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1970*,23,CIN,LCB,20,14,11,5,28,0,19,,,2,2,0,0,0,,14,PB
1971*,24,CIN,LCB,20,14,14,7,105,1,65,,,1,2,14,1,0,,12,PB
1972,25,CIN,LCB,20,14,14,5,90,2,33,,,4,1,-19,0,0,,11,
1973,26,CIN,LCB,20,14,14,2,10,0,10,,,1,2,23,1,0,,9,
1974*,27,CIN,LCB,20,13,13,,,,,,,0,2,47,1,0,,10,PB
1975*,28,CIN,LCB,20,11,11,1,26,0,26,,,3,0,0,0,0,,8,PB
1976*,29,CIN,LCB,20,14,14,2,0,0,0,,,3,1,0,0,0,,10,PB
1977*,30,CIN,LCB,20,11,10,3,95,1,47,,,1,0,0,0,0,,8,PB
1978,31,WAS,LCB,24,11,11,4,21,0,23,,,,,,,0,,6,
1979*+,32,WAS,LCB,24,16,16,9,65,0,23,,,0,2,0,0,0,,15,AP1 PB
1980*,33,WAS,LCB,24,15,15,7,13,0,9,,,1,0,0,0,0,,14,AP2 PB
1981,34,WAS,LCB,24,12,8,1,1,0,1,,,0,1,0,0,0,,4,
1982,35,BUF,db,24,7,0,1,8,0,8,,,,,,,0,,1,
Career,,,,,166,151,47,462,4,65,,,16,13,65,3,0,,122,
8 yrs,,CIN,,,105,101,25,354,4,65,,,15,10,65,3,0,,82,
4 yrs,,WAS,,,54,50,21,100,0,23,,,1,3,0,0,0,,39,
1 yr,,BUF,,,7,0,1,8,0,8,,,,,,,0,,1,
