Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2005,23,NWE,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,0,9,AP ORoY-2
2006,24,NWE,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,10,
2007*,25,NWE,LG,70,16,16,1,1,-9,-9,0,,-9,0.1,-0.6,100.00%,-9,,,,,,,,,1,-9,-9,0,0,17,AP2 PB
2008,26,NWE,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,10,
2009*,27,NWE,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,16,AP2 PB
2010*+,28,NWE,LG,70,9,9,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,12,AP1 PB
2011*,29,NWE,LG,70,15,15,1,0,0,,0,,0,0,0,0.00%,0,,,,,,,,,0,,0,0,,15,AP2 PB
2012*,30,NWE,LG,70,10,10,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,11,AP2 PB
2013*,31,NWE,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,14,AP2 PB
2014,32,TAM,LG,70,16,16,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,6,
2015*,33,TAM,LG,70,15,15,0,0,0,,0,,0,0,0,0.00%,,,,,,,,,,0,,0,0,,9,PB
Career,,,,,161,161,2,1,-9,-9,0,0,0,0,-0.1,50.00%,-4.5,,,,,,,,,1,-9,-9,0,0,129,
9 yrs,,NWE,,,130,130,2,1,-9,-9,0,0,0,0,-0.1,50.00%,-4.5,,,,,,,,,1,-9,-9,0,0,114,
2 yrs,,TAM,,,31,31,0,0,0,,0,0,0,0,0,,,,,,,,,,,0,,0,0,,15,
