Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1985,22,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,8,
1986,23,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,7,
1987,24,DET,LT,75,11,11,,,,,,,,,,,0,,,,,,,5,
1988,25,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,5,
1989,26,DET,LT,75,16,16,,,,,,,0,1,0,0,0,,,,,,,6,
1990*,27,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,11,PB
1991*,28,DET,LT,75,15,15,,,,,,,0,1,0,0,0,,,,,,,11,AP2 PB
1992*,29,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,10,PB
1993*,30,DET,LT,75,11,11,,,,,,,,,,,0,,,,,,,7,PB
1994*,31,DET,LT,75,16,16,,,,,,,,,,,0,,,,,,,14,AP2 PB
1995*+,32,DET,LT,75,15,14,,,,,,,,,,,0,,,,,,,15,AP1 PB
1996*,33,ARI,LT,75,16,16,,,,,,,,,,,0,,,,,,,9,PB
1997,34,ARI,LT,75,14,14,,,,,,,,,,,0,,,,,,,5,
1998,35,ARI,LT,75,16,16,,,,,,,,,,,0,,,,,,,8,
1999,36,CLE,LT,75,10,10,,,,,,,,,,,0,,,,,,,4,
2000,37,NYG,LT,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,10,
2001,38,NYG,LT,76,16,16,,,,,,,,,,,0,,,,,,,7,
2002,39,TAM,t,75,11,0,,,,,,,,,,,0,,,,,,,1,
Career,,,,,263,251,,,,,,0,0,3,0,0,0,,,,,,,143,
11 yrs,,DET,,,164,163,,,,,,0,0,2,0,0,0,,,,,,,99,
3 yrs,,ARI,,,46,46,,,,,,,,,,,0,,,,,,,22,
2 yrs,,NYG,,,32,32,,,,,,0,0,1,0,0,0,,,,,,,17,
1 yr,,CLE,,,10,10,,,,,,,,,,,0,,,,,,,4,
1 yr,,TAM,,,11,0,,,,,,,,,,,0,,,,,,,1,
