Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1998,23,STL,lb,59,16,1,,,,,,0,1,0,0,0,0,12,11,1,,,,1,
1999,24,STL,MLB,59,16,16,0,0,0,0,2,,,,,,3,89,67,22,12,,1,8,
2000,25,STL,MLB,59,16,15,4,33,0,12,8,1,0,0,0,0,5.5,133,106,27,13,,,6,
2001,26,STL,MLB,59,16,16,2,18,0,18,5,4,0,0,0,0,4.5,119,90,29,10,,,9,
2002,27,BUF,MLB,59,16,16,0,0,0,0,2,2,0,2,20,0,3,149,98,51,4,,,7,
2003,28,BUF,MLB,59,16,16,0,0,0,0,5,0,0,1,3,0,2,133,97,36,8,,,9,
2004,29,BUF,MLB,59,16,16,0,0,0,0,4,2,0,1,0,0,3.5,144,94,50,10,,,9,
2005,30,BUF,MLB,59,16,16,1,20,0,20,3,1,0,2,0,0,4,158,104,54,6,,1,7,
2006,31,BUF,MLB,59,16,16,4,30,1,17,14,0,0,1,5,1,2,146,101,45,9,3,,10,
2007,32,WAS,MLB,59,16,16,3,36,1,27,10,0,0,1,6,0,0,129,101,28,5,1,,10,
2008,33,WAS,MLB,59,16,16,0,0,0,0,5,1,0,1,12,0,0.5,133,96,37,7,3,,10,
2009*,34,WAS,MLB,59,16,16,1,2,0,2,6,1,0,0,0,0,2,142,95,47,7,3,,10,PB
2010*,35,WAS,LILB,59,16,16,1,0,0,0,11,3,0,3,-3,0,2.5,136,87,49,4,4,,11,PB
2011*,36,WAS,LLB,59,16,16,2,0,0,0,8,2,0,0,0,0,1.5,166,96,70,5,8,,12,AP2 PB
2012*,37,WAS,LILB,59,16,16,5,29,0,10,11,1,0,0,0,0,3,139,78,61,5,4,,12,AP2 PB
2013,38,WAS,LILB,59,16,16,0,0,0,0,2,1,0,0,0,0,2,111,63,48,4,3,,7,
Career,,,,,256,240,23,168,2,27,96,19,1,12,43,1,39,2039,1384,655,109,29,2,138,
7 yrs,,WAS,,,112,112,12,67,1,27,53,9,0,5,15,0,11.5,956,616,340,37,26,,72,
5 yrs,,BUF,,,80,80,5,50,1,20,28,5,0,7,28,1,14.5,730,494,236,37,3,1,42,
4 yrs,,STL,,,64,48,6,51,0,18,15,5,1,0,0,0,13,353,274,79,35,,1,24,
