Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1994,24,GNB,qb,8,2,0,,12,27,44.4,95,0,0,0,0,6,25,3.5,3.5,7.9,47.5,53.8,,2,16,6.9,2.72,2.72,,,0,
1995,25,JAX,QB,8,13,10,3-7-0,201,346,58.1,2168,15,4.3,7,2,104,45,6.3,6.2,10.8,166.8,82.6,,39,238,10.1,5.01,4.97,2,2,9,
1996*,26,JAX,QB,8,16,16,9-7-0,353,557,63.4,4367,19,3.4,20,3.6,204,62,7.8,6.9,12.4,272.9,84,,50,257,8.2,6.77,5.91,3,3,16,PB
1997*,27,JAX,QB,8,14,14,9-5-0,264,435,60.7,3281,18,4.1,7,1.6,160,75,7.5,7.6,12.4,234.4,91.2,,33,189,7.1,6.61,6.7,1,1,15,PB
1998,28,JAX,QB,8,13,13,10-3-0,208,354,58.8,2601,20,5.6,9,2.5,107,78,7.3,7.3,12.5,200.1,89.9,,28,172,7.3,6.36,6.35,4,4,11,
1999*,29,JAX,QB,8,15,15,13-2-0,259,441,58.7,3060,14,3.2,9,2,154,62,6.9,6.7,11.8,204,82,,29,174,6.2,6.14,5.87,2,3,12,PB
2000,30,JAX,QB,8,16,16,7-9-0,311,512,60.7,3640,20,3.9,14,2.7,177,67,7.1,6.7,11.7,227.5,84,,54,289,9.5,5.92,5.51,0,2,15,
2001,31,JAX,QB,8,15,15,6-9-0,289,473,61.1,3309,19,4,13,2.7,165,44,7,6.6,11.4,220.6,84.1,,57,387,10.8,5.51,5.13,1,1,12,
2002,32,JAX,QB,8,15,15,6-9-0,245,416,58.9,2788,17,4.1,7,1.7,140,79,6.7,6.8,11.4,185.9,85.7,,34,210,7.6,5.73,5.78,0,1,12,
2003,33,JAX,qb,8,3,3,0-3-0,54,82,65.9,484,2,2.4,0,0,22,65,5.9,6.4,9,161.3,89.7,,9,46,9.9,4.81,5.25,,,2,
2004,34,WAS,QB,8,9,9,3-6-0,118,237,49.8,1194,7,3,6,2.5,68,49,5,4.5,10.1,132.7,63.9,,15,105,6,4.32,3.81,0,1,0,
2005,35,WAS,QB,8,16,15,9-6-0,262,454,57.7,3050,23,5.1,10,2.2,155,78,6.7,6.7,11.6,190.6,85.9,,27,213,5.6,5.9,5.92,2,3,10,AP CPoY-3
2006,36,WAS,QB,8,10,9,3-6-0,162,260,62.3,1789,8,3.1,4,1.5,80,74,6.9,6.8,11,178.9,86.5,42.1,12,92,4.4,6.24,6.17,1,1,6,
2008,38,NOR,qb,11,2,0,,0,0,,0,0,,0,,,0,,,,0,,,0,0,,,,,,0,
2009,39,NOR,qb,11,16,1,0-1-0,15,30,50,102,0,0,1,3.3,5,18,3.4,1.9,6.8,6.4,44,9.5,0,0,0,3.4,1.9,,,0,
2010,40,NYJ,qb,8,2,0,,7,13,53.8,117,2,15.4,1,7.7,7,52,9,8.6,16.7,58.5,92,62.9,1,7,7.1,7.86,7.5,,,0,
2011,41,NYJ,qb,8,16,0,,1,3,33.3,27,0,0,0,0,1,27,9,9,27,1.7,67.4,3.3,0,0,0,9,9,,,0,
Career,,,,,193,151,78-73-0,2761,4640,59.5,32072,184,4,108,2.3,1555,79,6.9,6.7,11.6,166.2,84,,390,2395,7.8,5.9,5.67,16,22,120,
9 yrs,,JAX,,,120,117,63-54-0,2184,3616,60.4,25698,144,4,86,2.4,1233,79,7.1,6.8,11.8,214.2,85.4,,333,1962,8.4,6.01,5.76,13,17,104,
3 yrs,,WAS,,,35,33,15-18-0,542,951,57,6033,38,4,20,2.1,303,78,6.3,6.2,11.1,172.4,80.6,,54,410,5.4,5.6,5.46,3,5,16,
2 yrs,,NOR,,,18,1,0-1-0,15,30,50,102,0,0,1,3.3,5,18,3.4,1.9,6.8,5.7,44,,0,0,0,3.4,1.9,,,0,
2 yrs,,NYJ,,,18,0,,8,16,50,144,2,12.5,1,6.3,8,52,9,8.7,18,8,94.8,,1,7,5.9,8.06,7.76,,,0,
1 yr,,GNB,,,2,0,,12,27,44.4,95,0,0,0,0,6,25,3.5,3.5,7.9,47.5,53.8,,2,16,6.9,2.72,2.72,,,0,
