Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2007,23,BAL,RT,73,16,12,,,,,,,,,,,0,,,,,,,5,
2008,24,BAL,rg,73,5,5,,,,,,0,0,2,0,0,0,,,,,,,2,
2009,25,BAL,rg,73,16,9,,,,,,,,,,,0,,,,,,,5,
2010,26,BAL,RT,73,16,16,,,,,,,,,,,0,,,,,,,8,
2011*,27,BAL,RG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,11,AP2 PB
2012*,28,BAL,RG,73,14,14,,,,,,,,,,,0,,,,,,,10,AP2 PB
2013*,29,BAL,RG,73,16,16,,,,,,0,0,2,0,0,0,,,,,,,8,PB
2014*+,30,BAL,RG,73,16,16,,,,,,,,,,,0,,,,,,,17,AP1 PB
2015*+,31,BAL,RG,73,16,16,,,,,,,,,,,0,,,,,,,12,AP1 PB
2016*,32,BAL,LG/rg,73,13,13,,,,,,0,0,1,0,0,0,,,,,,,9,AP2 PB
2017,33,BAL,g,73,2,2,,,,,,,,,,,0,,,,,,,1,
2018*,34,BAL,RG,73,16,16,,,,,,0,0,1,0,0,0,,,,,,,13,AP2 PB
2019*,35,BAL,RG,73,15,15,,,,,,0,0,1,0,0,0,,,,,,,15,AP2 PB
Career,,,,,177,166,,,,,,0,0,8,0,0,0,,,,,,,116,
