Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1994*,21,IND,RB,28,16,16,314,1282,11,60,52,4.1,80.1,19.6,74,52,522,10,1,21,85,3.3,32.6,70.30%,7.1,366,4.9,1804,12,5,16,AP ORoY-1 AP2 PB
1995*,22,IND,RB,28,16,16,289,1078,11,69,40,3.7,67.4,18.1,74,56,475,8.5,3,18,34,3.5,29.7,75.70%,6.4,345,4.5,1553,14,8,13,AP2 PB
1996,23,IND,RB,28,13,13,198,587,7,42,43,3,45.2,15.2,80,56,428,7.6,0,18,30,4.3,32.9,70.00%,5.4,254,4,1015,7,2,8,
1997,24,IND,RB,28,16,16,264,1054,7,64,45,4,65.9,16.5,73,47,471,10,1,15,58,2.9,29.4,64.40%,6.5,311,4.9,1525,8,5,12,
1998*,25,IND,RB,28,16,15,324,1319,6,62,68,4.1,82.4,20.3,106,86,908,10.6,4,44,78,5.4,56.8,81.10%,8.6,410,5.4,2227,10,3,18,AP OPoY-4 AP2 PB
1999*+,26,STL,RB,28,16,16,253,1381,7,70,58,5.5,86.3,15.8,103,87,1048,12,5,40,57,5.4,65.5,84.50%,10.2,340,7.1,2429,12,2,25,AP MVP-2 AP OPoY-1 AP1 PB
2000*+,27,STL,RB,28,14,14,253,1359,18,78,36,5.4,97.1,18.1,113,81,830,10.2,8,42,72,5.8,59.3,71.70%,7.3,334,6.6,2189,26,0,22,AP MVP-1 AP OPoY-1 AP1 PB
2001*+,28,STL,RB,28,14,14,260,1382,12,70,71,5.3,98.7,18.6,104,83,765,9.2,9,40,65,5.9,54.6,79.80%,7.4,343,6.3,2147,21,3,22,AP MVP-2 AP OPoY-1 AP1 PB
2002*,29,STL,RB,28,14,10,212,953,8,54,44,4.5,68.1,15.1,102,80,537,6.7,2,23,40,5.7,38.4,78.40%,5.3,292,5.1,1490,10,4,9,PB
2003,30,STL,RB,28,11,11,209,818,10,51,52,3.9,74.4,19,61,45,290,6.4,1,11,30,4.1,26.4,73.80%,4.8,254,4.4,1108,11,0,9,AP CPoY-11
2004,31,STL,RB,28,14,14,195,774,3,46,40,4,55.3,13.9,65,50,310,6.2,1,12,25,3.6,22.1,76.90%,4.8,245,4.4,1084,4,2,6,
2005,32,STL,rb,28,16,1,65,292,0,15,20,4.5,18.3,4.1,58,44,291,6.6,1,18,18,2.8,18.2,75.90%,5,109,5.3,583,1,2,4,
Career,,,,,176,156,2836,12279,100,681,71,4.3,69.8,16.1,1013,767,6875,9,36,302,85,4.4,39.1,75.70%,6.8,3603,5.3,19154,136,36,164,
7 yrs,,STL,,,99,80,1447,6959,58,384,71,4.8,70.3,14.6,606,470,4071,8.7,27,186,72,4.7,41.1,77.60%,6.7,1917,5.8,11030,85,13,97,
5 yrs,,IND,,,77,76,1389,5320,42,297,68,3.8,69.1,18,407,297,2804,9.4,9,116,85,3.9,36.4,73.00%,6.9,1686,4.8,8124,51,23,67,
