Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1996,24,IND,WR,88,16,15,118,64,836,13.1,8,43,41,4,52.3,54.20%,7.1,3,15,0,1,15,5,0.9,0.2,67,12.7,851,8,1,8,
1997,25,IND,WR,88,16,15,117,73,866,11.9,6,46,44,4.6,54.1,62.40%,7.4,2,-7,0,0,0,-3.5,-0.4,0.1,75,11.5,859,6,2,8,
1998,26,IND,WR,88,12,12,122,59,776,13.2,7,40,61,4.9,64.7,48.40%,6.4,,,,,,,,,59,13.2,776,7,0,7,
1999*+,27,IND,WR,88,16,16,184,115,1663,14.5,12,79,57,7.2,103.9,62.50%,9,1,4,0,0,4,4,0.3,0.1,116,14.4,1667,12,2,20,AP1 PB
2000*,28,IND,WR,88,16,16,169,102,1413,13.9,14,70,78,6.4,88.3,60.40%,8.4,,,,,,,,,102,13.9,1413,14,2,15,AP2 PB
2001*,29,IND,WR,88,16,16,164,109,1524,14,15,74,68,6.8,95.3,66.50%,9.3,1,3,0,0,3,3,0.2,0.1,110,13.9,1527,15,0,15,AP2 PB
2002*+,30,IND,WR,88,16,16,205,143,1722,12,11,92,69,8.9,107.6,69.80%,8.4,2,10,0,0,8,5,0.6,0.1,145,11.9,1732,11,0,16,AP OPoY-2 AP1 PB
2003*,31,IND,WR,88,15,15,142,94,1272,13.5,10,60,79,6.3,84.8,66.20%,9,1,3,0,0,3,3,0.2,0.1,95,13.4,1275,10,2,15,AP2 PB
2004*,32,IND,WR,88,16,16,139,86,1113,12.9,15,63,59,5.4,69.6,61.90%,8,,,,,,,,,86,12.9,1113,15,1,14,AP2 PB
2005*,33,IND,WR,88,15,15,134,82,1146,14,12,58,80,5.5,76.4,61.20%,8.6,,,,,,,,,82,14,1146,12,0,15,AP2 PB
2006*+,34,IND,WR,88,16,16,148,95,1366,14.4,12,78,68,5.9,85.4,64.20%,9.2,,,,,,,,,95,14.4,1366,12,1,17,AP1 PB
2007,35,IND,WR,88,5,5,32,20,247,12.4,1,12,42,4,49.4,62.50%,7.7,,,,,,,,,20,12.4,247,1,0,3,
2008,36,IND,WR,88,15,15,107,60,636,10.6,5,41,67,4,42.4,56.10%,5.9,,,,,,,,,60,10.6,636,5,1,7,
Career,,,,,190,188,1781,1102,14580,13.2,128,756,80,5.8,76.7,61.90%,8.2,10,28,0,1,15,2.8,0.1,0.1,1112,13.1,14608,128,12,160,
