Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2008,23,ATL,QB,2,16,16,11-5-0,265,434,61.1,3440,16,3.7,11,2.5,156,70,7.9,7.5,13,215,87.7,68.8,17,104,3.8,7.4,7.01,2,4,14,AP ORoY-1
2009,24,ATL,QB,2,14,14,9-5-0,263,451,58.3,2916,22,4.9,14,3.1,153,90,6.5,6,11.1,208.3,80.9,67.7,19,92,4,6.01,5.6,1,3,10,
2010*,25,ATL,QB,2,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46,6.5,6.8,10.4,231.6,91,71.2,23,158,3.9,5.97,6.23,5,6,16,PB
2011,26,ATL,QB,2,16,16,10-6-0,347,566,61.3,4177,29,5.1,12,2.1,208,80,7.4,7.5,12,261.1,92.2,69.3,26,173,4.4,6.76,6.83,3,3,15,
2012*,27,ATL,QB,2,16,16,13-3-0,422,615,68.6,4719,32,5.2,14,2.3,248,80,7.7,7.7,11.2,294.9,99.1,71.6,28,210,4.4,7.01,7.03,4,6,18,PB
2013,28,ATL,QB,2,16,16,4-12-0,439,651,67.4,4515,26,4,17,2.6,228,81,6.9,6.6,10.3,282.2,89.6,67.5,44,298,6.3,6.07,5.72,1,1,13,
2014*,29,ATL,QB,2,16,16,6-10-0,415,628,66.1,4694,28,4.5,14,2.2,233,79,7.5,7.4,11.3,293.4,93.9,68.4,31,205,4.7,6.81,6.71,3,3,15,PB
2015,30,ATL,QB,2,16,16,8-8-0,407,614,66.3,4591,21,3.4,16,2.6,228,70,7.5,7,11.3,286.9,89,64.1,30,203,4.7,6.81,6.35,4,4,14,
2016*+,31,ATL,QB,2,16,16,11-5-0,373,534,69.9,4944,38,7.1,7,1.3,240,76,9.3,10.1,13.3,309,117.1,79.6,37,235,6.5,8.25,9.03,1,2,21,AP MVP-1 AP OPoY-1 AP1 PB
2017,32,ATL,QB,2,16,16,10-6-0,342,529,64.7,4095,20,3.8,12,2.3,199,88,7.7,7.5,12,255.9,91.4,67.1,24,156,4.3,7.12,6.87,2,3,15,
2018,33,ATL,QB,2,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,6.5,7.12,7.71,1,1,16,
2019,34,ATL,QB,2,15,15,7-8-0,408,616,66.2,4466,26,4.2,14,2.3,228,93,7.3,7.1,10.9,297.7,92.1,59.6,48,316,7.2,6.25,6.08,3,2,13,
2020,35,ATL,QB,2,16,16,4-12-0,407,626,65,4581,26,4.2,11,1.8,242,63,7.3,7.4,11.3,286.3,93.3,59.8,41,257,6.1,6.48,6.52,,,13,
2021,36,ATL,QB,2,17,17,7-10-0,375,560,67,3968,20,3.6,12,2.1,195,64,7.1,6.8,10.6,233.4,90.4,46.1,40,274,6.7,6.16,5.92,3,4,10,
2022,37,IND,QB,2,6,6,3-2-1,170,253,67.2,1765,8,3.2,7,2.8,91,44,7,6.4,10.4,294.2,86.2,45.8,21,168,7.7,5.83,5.26,0,0,,
Career,,,,,228,228,123-104-1,5412,8256,65.6,61500,375,4.5,177,2.1,3087,93,7.4,7.4,11.4,269.7,94,,471,3145,5.4,6.69,6.63,33,42,203,
14 yrs,,ATL,,,222,222,120-102-0,5242,8003,65.5,59735,367,4.6,170,2.1,2996,93,7.5,7.4,11.4,269.1,94.2,,450,2977,5.3,6.71,6.68,33,42,203,
1 yr,,IND,,,6,6,3-2-1,170,253,67.2,1765,8,3.2,7,2.8,91,44,7,6.4,10.4,294.2,86.2,,21,168,7.7,5.83,5.26,0,0,,
