Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1970,22,PIT,RCB,47,14,10,1,4,0,4,,,0,1,0,0,0,,5,
1971,23,PIT,RCB,47,14,10,2,16,0,16,,,1,0,0,0,0,,5,
1972,24,PIT,RCB,47,14,13,3,75,0,34,,,0,2,35,1,0.5,,9,
1973,25,PIT,RCB,47,14,14,4,82,0,24,,,0,2,0,0,0,,6,
1974,26,PIT,RCB,47,13,13,2,74,1,52,,,0,3,5,0,0,,6,
1975*+,27,PIT,RCB,47,14,14,11,121,0,47,,,1,0,0,0,0,,16,AP DPoY-1 AP1 PB
1976*,28,PIT,RCB,47,14,14,6,75,0,28,,,1,1,0,0,0,,13,PB
1977,29,PIT,RCB,47,14,13,6,65,0,37,,,0,1,15,0,0,,5,
1978*,30,PIT,RCB,47,16,15,4,55,0,35,,,,,,,0,,12,AP2 PB
1979*,31,PIT,RCB,47,16,16,3,1,0,1,,,0,1,15,0,0,,13,AP2 PB
1980,32,PIT,RCB,47,16,16,4,28,0,17,,,0,1,32,0,0,,6,
1981*+,33,PIT,RCB,47,16,16,6,106,1,50,,,,,,,0,,17,AP1 PB
1982,34,PIT,RCB,47,9,9,1,2,0,2,,,,,,,0,,7,
1983,35,PIT,RCB,47,16,16,4,32,0,21,,,0,1,3,1,0,,8,
Career,,,,,200,189,57,736,2,52,,,3,13,105,2,0.5,,128,
