Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1964*,23,DAL,FS,20,14,14,7,110,1,39,,,4,2,0,0,0,,15,AP RoY-4 UPI RoY-4 AP2 PB
1965*,24,DAL,FS,20,14,14,2,92,1,90,,,3,2,1,0,0,,11,AP2 PB
1966*,25,DAL,FS,20,11,8,2,57,0,33,,,2,0,0,0,0,,9,PB
1967*,26,DAL,FS,20,9,9,7,38,0,30,,,0,2,28,0,0,,7,PB
1968*,27,DAL,FS,20,14,9,3,5,0,5,,,0,1,6,0,0,,8,PB
1969*,28,DAL,FS,20,14,14,10,118,0,41,,,2,0,0,0,1,,12,AP2 PB
1970*,29,DAL,RCB,20,14,14,4,3,0,3,,,1,2,0,0,1,,11,PB
1971*,30,DAL,RCB,20,14,14,4,11,0,7,,,,,,,0,,12,PB
1972*,31,DAL,RCB,20,14,13,1,0,0,0,,,0,1,3,0,0,,14,AP DPoY-9 AP2 PB
1973*,32,DAL,RCB,20,14,14,2,65,1,35,,,0,2,0,0,0,,13,PB
1974,33,DAL,RCB,20,11,11,1,6,0,6,,,0,1,6,0,0,,7,
1975,34,DAL,RCB,20,11,11,4,70,0,22,,,,,,,0,,6,
1976,35,DAL,RCB,20,9,9,3,23,0,23,,,,,,,0,,5,
1977,36,DAL,cb,20,11,0,2,28,0,25,,,,,,,0,,3,
Career,,,,,174,154,52,626,3,90,,,12,13,44,0,2,,133,
