Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1962*,22,RAM,LDT,74,12,12,1,20,1,20,,,0,2,0,0,3.5,,9,AP RoY-2 UPI RoY-2 PB
1963*,23,RAM,LDT,74,14,14,,,,,,,1,0,0,0,3.5,,9,AP2 PB
1964*,24,RAM,LDT,74,14,14,,,,,,,,,,,7,,9,AP2 PB
1965*,25,RAM,LDT,74,14,14,,,,,,,0,1,59,0,6,,9,AP2 PB
1966*+,26,RAM,LDT,74,14,14,,,,,,,1,2,9,0,4,,15,AP1 PB
1967*+,27,RAM,LDT,74,14,14,,,,,,,0,1,0,0,3.5,,15,AP1 PB
1968*+,28,RAM,LDT,74,14,14,,,,,,,0,1,0,0,9,,15,AP1 PB
1969*+,29,RAM,LDT,74,14,14,,,,,,,,,,,11,,12,AP1 PB
1970*+,30,RAM,LDT,74,14,14,,,,,,,,,,,8.5,,14,AP MVP-9 AP1 PB
1971*,31,RAM,LDT,74,14,14,,,,,,,,,,,4,,9,PB
1972*,32,RAM,LDT,74,14,14,,,,,,,,,,,10,,9,AP MVP-8 AP DPoY-5 PB
1973*,33,RAM,RDT,74,14,14,,,,,,,,,,,7,,11,PB
1974*,34,RAM,RDT,74,14,14,,,,,,,,,,,3.5,,10,PB
1975*,35,RAM,RDT,74,14,14,,,,,,,0,1,0,0,7.5,,13,PB
1976,36,RAM,RDT,74,14,14,,,,,,,0,1,0,0,3,,8,
Career,,,,,208,208,1,20,1,20,,,2,9,68,0,91,,167,
