Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1988,22,DAL,WR,88,14,10,,32,654,20.4,5,,61,2.3,46.7,,,1,2,0,,2,2,0.1,0.1,33,19.9,656,5,0,5,
1989,23,DAL,wr,88,6,6,,26,378,14.5,2,,65,4.3,63,,,1,6,0,,6,6,1,0.2,27,14.2,384,2,0,2,
1990,24,DAL,WR,88,12,7,,20,413,20.7,5,,61,1.7,34.4,,,,,,,,,,,20,20.7,413,5,0,4,
1991*+,25,DAL,WR,88,16,16,,93,1523,16.4,8,,66,5.8,95.2,,,,,,,,,,,93,16.4,1523,8,3,18,AP OPoY-5 AP1 PB
1992*,26,DAL,WR,88,16,14,122,78,1396,17.9,7,,87,4.9,87.3,63.90%,11.4,1,-9,0,,-9,-9,-0.6,0.1,79,17.6,1387,7,1,18,AP2 PB
1993*,27,DAL,WR,88,16,16,143,88,1330,15.1,7,,61,5.5,83.1,61.50%,9.3,2,6,0,,9,3,0.4,0.1,90,14.8,1336,7,0,17,AP2 PB
1994*,28,DAL,WR,88,16,16,121,79,1241,15.7,6,62,65,4.9,77.6,65.30%,10.3,,,,,,,,,79,15.7,1241,6,0,15,PB
1995*,29,DAL,WR,88,16,16,165,111,1603,14.4,10,87,50,6.9,100.2,67.30%,9.7,,,,,,,,,111,14.4,1603,10,1,19,PB
1996,30,DAL,WR,88,11,11,105,64,962,15,2,45,61,5.8,87.5,61.00%,9.2,,,,,,,,,64,15,962,2,1,8,
1997,31,DAL,WR,88,16,16,157,75,1180,15.7,9,59,55,4.7,73.8,47.80%,7.5,,,,,,,,,75,15.7,1180,9,0,8,
1998,32,DAL,WR,88,16,15,128,74,1057,14.3,1,48,51,4.6,66.1,57.80%,8.3,1,1,0,0,1,1,0.1,0.1,75,14.1,1058,1,1,10,
1999,33,DAL,wr,88,4,4,19,10,167,16.7,3,8,37,2.5,41.8,52.60%,8.8,,,,,,,,,10,16.7,167,3,0,2,
Career,,,,,159,147,960,750,11904,15.9,65,309,87,4.7,74.9,60.30%,9.3,6,6,0,0,9,1,0,0,756,15.8,11910,65,7,126,
