Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1993,22,NYG,DE,92,9,0,,,,,,,,,,,1,3,,,,,,1,
1994,23,NYG,RDE,92,15,15,,,,,,1,0,0,0,0,4.5,40,27,13,,,,7,
1995,24,NYG,LDE,92,15,15,2,56,0,56,,3,0,0,0,0,7.5,58,48,10,,,1,8,
1996,25,NYG,LDE,92,16,16,,,,,,1,0,0,0,0,5,63,54,9,,,,10,
1997*+,26,NYG,LDE,92,16,16,,,,,,2,0,1,0,0,14,68,49,19,,,,19,AP1 PB
1998*+,27,NYG,LDE,92,16,15,1,24,1,24,,2,0,0,0,0,15,67,53,14,,,,18,AP DPoY-6 AP1 PB
1999*,28,NYG,LDE,92,16,16,1,44,1,44,3,0,0,2,0,0,5.5,58,43,15,14,,,11,PB
2000,29,NYG,LDE,92,16,16,0,0,0,0,4,0,0,4,0,0,9.5,66,51,15,15,,,9,
2001*+,30,NYG,LDE,92,16,16,0,0,0,0,2,6,0,1,13,1,22.5,73,61,12,24,,,17,AP DPoY-1 AP1 PB
2002*,31,NYG,LDE,92,16,16,0,0,0,0,2,3,0,1,0,0,11,71,57,14,13,,,15,AP2 PB
2003*+,32,NYG,LDE,92,16,16,0,0,0,0,5,3,0,1,0,0,18.5,75,60,15,23,,,15,AP1 PB
2004,33,NYG,LDE,92,8,8,,,,,,1,0,3,0,0,4,35,25,10,5,,,4,
2005*,34,NYG,LDE,92,16,16,0,0,0,0,2,1,0,1,0,0,11.5,82,61,21,18,,,15,AP2 PB
2006,35,NYG,LDE,92,9,9,0,0,0,0,3,,,,,,3,38,28,10,5,8,,4,
2007,36,NYG,LDE,92,16,15,0,0,0,0,2,1,0,1,4,0,9,57,46,11,14,19,,8,
Career,,,,,216,205,4,124,2,56,23,24,0,15,17,1,141.5,854,663,188,131,27,1,161,
