Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2001,21,ATL,qb,7,8,2,1-1-0,50,113,44.2,785,2,1.8,3,2.7,34,52,6.9,6.1,15.7,98.1,62.7,,21,113,15.7,5.01,4.31,,,4,
2002*,22,ATL,QB,7,15,15,8-6-1,231,421,54.9,2936,16,3.8,8,1.9,140,74,7,6.9,12.7,195.7,81.6,,33,206,7.3,6.01,5.93,2,2,17,AP MVP-4 PB
2003,23,ATL,qb,7,5,4,3-1-0,50,100,50,585,4,4,3,3,32,49,5.9,5.3,11.7,117,69,,9,64,8.3,4.78,4.28,1,0,4,
2004*,24,ATL,QB,7,15,15,11-4-0,181,321,56.4,2313,14,4.4,12,3.7,102,62,7.2,6.4,12.8,154.2,78.1,,46,266,12.5,5.58,4.87,3,4,15,AP MVP-2 AP OPoY-5 AP CPoY-6 PB
2005*,25,ATL,QB,7,15,15,8-7-0,214,387,55.3,2412,15,3.9,13,3.4,126,58,6.2,5.5,11.3,160.8,73.1,,33,201,7.9,5.26,4.59,0,1,13,PB
2006,26,ATL,QB,7,16,16,7-9-0,204,388,52.6,2474,20,5.2,13,3.4,122,55,6.4,5.9,12.1,154.6,75.7,49.3,45,303,10.4,5.01,4.59,0,1,15,
2007,,Missed season - Violation of league personal conduct policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,Missed season - Violation of league personal conduct policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,29,PHI,qb,7,12,1,,6,13,46.2,86,1,7.7,0,0,3,43,6.6,8.2,14.3,7.2,93.7,52.9,0,0,0,6.62,8.15,,,1,
2010*,30,PHI,QB,7,12,12,8-3-0,233,372,62.6,3018,21,5.6,6,1.6,119,91,8.1,8.5,13,251.5,100.2,65,34,210,8.4,6.92,7.29,4,3,15,AP OPoY-2 AP CPoY-1 PB
2011,31,PHI,QB,7,13,13,7-6-0,253,423,59.8,3303,18,4.3,14,3.3,154,73,7.8,7.2,13.1,254.1,84.9,60.9,23,126,5.2,7.12,6.52,,,12,
2012,32,PHI,QB,7,10,10,3-7-0,204,351,58.1,2362,12,3.4,10,2.8,115,77,6.7,6.1,11.6,236.2,78.1,47,28,153,7.4,5.83,5.27,3,3,7,
2013,33,PHI,qb,7,7,6,2-4-0,77,141,54.6,1215,5,3.5,3,2.1,52,70,8.6,8.4,15.8,173.6,86.5,53.5,15,99,9.6,7.15,6.93,,,5,
2014,34,NYJ,qb,1,10,3,1-2-0,64,121,52.9,604,3,2.5,2,1.7,33,67,5,4.7,9.4,60.4,68.3,21.4,19,85,13.6,3.71,3.49,,,2,
2015,35,PIT,qb,2,5,3,2-1-0,40,66,60.6,371,2,3,1,1.5,14,72,5.6,5.5,9.3,74.2,79.8,31.8,10,53,13.2,4.18,4.12,1,1,2,
Career,,,,,143,115,61-51-1,1807,3217,56.2,22464,133,4.1,88,2.7,1046,91,7,6.6,12.4,157.1,80.4,,316,1879,8.9,5.83,5.46,14,15,112,
6 yrs,,ATL,,,74,67,38-28-1,930,1730,53.8,11505,71,4.1,52,3,556,74,6.7,6.1,12.4,155.5,75.7,,187,1153,9.8,5.4,4.92,6,8,68,
5 yrs,,PHI,,,54,42,20-20-0,773,1300,59.5,9984,57,4.4,33,2.5,443,91,7.7,7.4,12.9,184.9,87.7,,100,588,7.1,6.71,6.47,7,6,40,
1 yr,,NYJ,,,10,3,1-2-0,64,121,52.9,604,3,2.5,2,1.7,33,67,5,4.7,9.4,60.4,68.3,,19,85,13.6,3.71,3.49,,,2,
1 yr,,PIT,,,5,3,2-1-0,40,66,60.6,371,2,3,1,1.5,14,72,5.6,5.5,9.3,74.2,79.8,,10,53,13.2,4.18,4.12,1,1,2,
