Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1962,22,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,6,AP RoY-7 UPI RoY-5
1963,23,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,7,
1964*+,24,MIN,C,53,14,14,,,,,,,,,,,0,,13,AP1 PB
1965*+,25,MIN,C,53,14,14,,,,,,,,,,,0,,15,AP1 PB
1966*+,26,MIN,C,53,14,14,,,,,,,1,0,-24,0,0,,13,AP1 PB
1967*,27,MIN,C,53,14,14,,,,,,,,,,,0,,8,AP2 PB
1968*+,28,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,12,AP1 PB
1969*+,29,MIN,C,53,14,14,,,,,,,,,,,0,,13,AP1 PB
1970,30,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,7,
1971,31,MIN,C,53,14,14,,,,,,,1,1,-8,0,0,,5,
1972,32,MIN,C,53,14,14,,,,,,,0,3,0,0,0,,7,
1973,33,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,7,
1974,34,MIN,C,53,14,14,,,,,,,1,0,-6,0,0,,9,
1975,35,MIN,C,53,14,14,,,,,,,0,2,0,0,0,,9,
1976,36,MIN,C,53,14,14,,,,,,,1,1,-4,0,0,,8,
1977,37,MIN,C,53,14,14,,,,,,,0,1,0,0,0,,6,
1978,38,MIN,C,53,16,16,,,,,,,,,,,0,,7,
Career,,,,,240,240,,,,,,,4,13,-42,0,0,,152,
