Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1976*,23,NWE,RCB,40,14,14,8,90,0,28,,,3,3,0,0,0,,15,AP DRoY-1 AP2 PB
1977*,24,NWE,RCB,40,14,14,5,54,0,22,,,4,2,0,0,0,,14,AP2 PB
1978*,25,NWE,RCB,40,16,16,6,123,1,50,,,1,0,0,0,0,,12,AP2 PB
1979*,26,NWE,RCB,40,16,15,3,66,0,33,,,1,3,0,0,0,,14,AP2 PB
1980*,27,NWE,RCB,40,13,12,1,31,0,31,,,2,3,6,0,1,,12,AP2 PB
1981,28,NWE,RCB,40,8,6,1,3,0,3,,,,,,,0,,3,
1982*,29,NWE,LCB,40,9,9,4,26,0,26,,,,,,,0,,14,AP2 PB
1983,30,RAI,db,22,5,3,1,0,0,0,,,,,,,0,,1,
1984*+,31,RAI,RCB,22,16,16,6,220,1,97,,,,,,,0,,17,AP1 PB
1985*+,32,RAI,RCB,22,16,16,4,8,0,8,,,,,,,1,,17,AP1 PB
1986*,33,RAI,RCB,22,13,13,2,28,0,22,,,,,,,0,,8,PB
1987,34,RAI,RCB,22,8,7,2,9,0,7,,,,,,,0,,4,
1988,35,RAI,RCB,22,16,16,3,30,0,30,,,0,1,0,0,0,,6,
1989,36,RAI,db,22,13,1,,,,,,,,,,,0,,1,
Career,,,,,177,158,46,688,2,97,,,11,12,6,0,2,,138,
7 yrs,,NWE,,,90,86,28,393,1,50,,,11,11,6,0,1,,84,
7 yrs,,RAI,,,87,72,18,295,1,97,,,0,1,0,0,1,,54,
