Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1978,22,ATL,LT,78,16,16,,,,,,,0,2,0,0,0,,,,,5,
1979,23,ATL,LT,78,16,16,,,,,,,0,2,0,0,0,,,,,6,
1980*+,24,ATL,LT,78,16,16,,,,,,,0,3,0,0,0,,,,,15,AP1 PB
1981*,25,ATL,LT,78,16,16,,,,,,,0,1,0,0,0,,,,,11,AP2 PB
1982*,26,ATL,LT,78,9,9,,,,,,,0,1,0,0,0,,,,,11,AP2 PB
1983*,27,ATL,LT,78,16,16,,,,,,,0,1,0,0,0,,,,,13,AP2 PB
1984*,28,ATL,LT,78,14,14,,,,,,,,,,,0,,,,,9,PB
1985,29,ATL,LT,78,11,11,,,,,,,,,,,0,,,,,5,
1986,30,ATL,LT,78,16,16,,,,,,,,,,,0,,,,,7,
1987,31,ATL,LT,78,12,12,,,,,,,,,,,0,,,,,4,
1988,32,ATL,LT,78,16,16,,,,,,,,,,,0,,,,,5,
1989,33,ATL,LT,78,15,15,,,,,,,,,,,0,,,,,7,
1990,34,ATL,LT,78,16,16,,,,,,,0,1,0,0,0,,,,,6,
1991+,35,ATL,LT,78,15,15,,,,,,,,,,,0,,,,,12,AP1
1992,36,ATL,LT,78,16,16,,,,,,,,,,,0,,,,,9,
1993,37,ATL,LT,78,16,16,,,,,,,,,,,0,,,,,7,
1994,38,ATL,LT,78,15,15,,,,,,,,,,,0,,,,,7,
Career,,,,,251,251,,,,,,0,0,11,0,0,0,,,,,139,
