Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1982,22,HOU,g,63,4,3,,,,,,,,,,,0,,2,
1983,23,HOU,LG,63,16,16,,,,,,,,,,,0,,7,
1984*,24,HOU,LG,63,16,16,,,,,,,,,,,0,,9,PB
1985*,25,HOU,LG,63,16,16,,,,,,,0,2,3,0,0,,11,AP2 PB
1986,26,HOU,LG,63,6,6,,,,,,,0,1,0,1,0,,2,
1987*+,27,HOU,LG,63,12,12,,,,,,,0,1,0,0,0,,12,AP1 PB
1988*,28,HOU,LG,63,16,16,,,,,,,0,1,0,0,0,,13,AP2 PB
1989*,29,HOU,LG,63,16,16,,,,,,,,,,,0,,14,AP2 PB
1990*,30,HOU,LG,63,16,16,,,,,,,,,,,0,,15,AP2 PB
1991*+,31,HOU,LG,63,13,13,,,,,,,,,,,0,,12,AP1 PB
1992*,32,HOU,LG,63,15,14,,,,,,,,,,,0,,11,AP2 PB
1993*,33,HOU,LG,63,13,12,,,,,,,,,,,0,,10,AP2 PB
Career,,,,,159,156,,,,,,0,0,5,3,1,0,,118,
