Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1981,23,CHI,MLB,50,16,9,1,-3,0,-3,,,,,,,0,,5,
1982,24,CHI,MLB,50,9,9,,,,,,,0,1,0,0,1,,8,
1983*,25,CHI,MLB,50,16,16,1,0,0,0,,,0,4,15,0,3.5,,13,PB
1984*+,26,CHI,MLB,50,16,16,1,4,0,4,,,0,1,0,0,3.5,,17,AP DPoY-5 AP1 PB
1985*+,27,CHI,MLB,50,16,16,1,23,0,23,,,0,3,11,0,3,,17,AP DPoY-1 AP1 PB
1986*+,28,CHI,MLB,50,14,14,1,3,0,3,,,,,,,2,,19,AP1 PB
1987*+,29,CHI,MLB,50,12,12,,,,,,,0,1,0,0,2,,13,AP1 PB
1988*+,30,CHI,MLB,50,16,16,1,13,0,13,,,0,1,4,0,1,,18,AP MVP-4 AP DPoY-1 AP1 PB
1989*+,31,CHI,MLB,50,16,16,,,,,,,,,,,1,,12,AP1 PB
1990*,32,CHI,MLB,50,16,16,,,,,,,0,1,0,0,1,,13,AP2 PB
1991*+,33,CHI,MLB,50,16,16,,,,,,,,,,,0,,15,AP1 PB
1992*,34,CHI,MLB,50,16,16,1,4,0,4,,,,,,,1,,9,PB
Career,,,,,179,172,7,44,0,23,,,0,12,30,0,19,,159,
