Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1974,22,PIT,C,52,14,1,,,,,,,,,,,0,,2,
1975,23,PIT,C,52,14,1,,,,,,,,,,,0,,2,
1976,24,PIT,C,52,14,14,,,,,,,2,0,-15,0,0,,10,
1977,25,PIT,C,52,14,14,,,,,,,,,,,0,,8,
1978*+,26,PIT,C,52,16,16,,,,,,,1,0,-2,0,0,,15,AP1 PB
1979*+,27,PIT,C,52,16,16,,,,,,,0,2,2,0,0,,15,AP1 PB
1980*+,28,PIT,C,52,16,16,,,,,,,,,,,0,,15,AP1 PB
1981*+,29,PIT,C,52,16,16,,,,,,,,,,,0,,16,AP1 PB
1982*,30,PIT,C,52,9,9,,,,,,,,,,,0,,10,PB
1983*+,31,PIT,C,52,16,16,,,,,,,0,2,0,0,0,,13,AP1 PB
1984*,32,PIT,C,52,16,16,,,,,,,,,,,0,,12,AP2 PB
1985*,33,PIT,C,52,16,16,,,,,,,0,1,0,0,0,,10,PB
1986,34,PIT,C,52,12,12,,,,,,,,,,,0,,6,
1987*,35,PIT,C,52,15,15,,,,,,,,,,,0,,8,PB
1988,36,PIT,C,52,16,16,,,,,,,2,0,-58,0,0,,8,
1989,37,KAN,C,53,16,16,,,,,,,,,,,0,,7,
1990,38,KAN,C,53,9,7,,,,,,,0,1,0,0,0,,4,
Career,,,,,245,217,,,,,,,5,6,-73,0,0,,161,
15 yrs,,PIT,,,220,194,,,,,,,5,5,-73,0,0,,150,
2 yrs,,KAN,,,25,23,,,,,,,0,1,0,0,0,,11,
