Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2010*+,23,DET,LDT,90,16,16,1,20,0,20,3,1,0,1,17,1,10,66,49,17,13,17,,15,AP DRoY-1 AP1 PB
2011,24,DET,LDT,90,14,14,0,0,0,0,1,,,,,,4,36,26,10,6,9,,6,
2012*,25,DET,RDT,90,16,16,0,0,0,0,2,,,,,,8,34,24,10,17,32,,12,AP2 PB
2013*+,26,DET,RDT,90,16,16,0,0,0,0,6,1,0,0,0,0,5.5,49,36,13,9,20,1,16,AP1 PB
2014*+,27,DET,RDT,90,16,16,0,0,0,0,3,,,,,,8.5,53,44,9,21,20,,18,AP1 PB
2015,28,MIA,LDT,93,16,16,0,0,0,0,5,,,,,,6,61,39,22,17,20,,7,
2016*,29,MIA,LDT,93,16,16,0,0,0,0,6,0,0,1,0,0,5,72,41,31,11,17,,13,AP2 PB
2017,30,MIA,LDT,93,16,16,0,0,0,0,2,2,0,0,0,0,4.5,48,29,19,9,12,,7,
2018,31,LAR,LDT,93,16,16,0,0,0,0,4,0,0,2,0,0,4.5,59,36,23,4,19,,8,
2019,32,TAM,LDE,93,16,16,0,0,0,0,4,0,0,4,43,2,2.5,41,22,19,7,14,,9,
2020,33,TAM,LDE,93,16,16,0,0,0,0,2,1,0,0,0,0,6,44,27,17,9,19,,8,
2021,34,TAM,LDE,93,17,17,,,,,,0,0,1,0,0,6,27,15,12,7,13,,8,
Career,,,,,191,191,1,20,0,20,38,5,0,9,60,3,70.5,590,388,202,130,212,1,127,
5 yrs,,DET,,,78,78,1,20,0,20,15,2,0,1,17,1,36,238,179,59,66,98,1,67,
3 yrs,,MIA,,,48,48,0,0,0,0,13,2,0,1,0,0,15.5,181,109,72,37,49,,27,
3 yrs,,TAM,,,49,49,0,0,0,0,6,1,0,5,43,2,14.5,112,64,48,23,46,,25,
1 yr,,LAR,,,16,16,0,0,0,0,4,0,0,2,0,0,4.5,59,36,23,4,19,,8,
