Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1988,22,KAN,lde,90,13,7,,,,,,1,0,0,0,0,2.5,53,,,,,,3,
1989,23,KAN,LDE,90,15,15,,,,,,4,0,2,3,1,6.5,67,,,,,,8,
1990,24,KAN,LDE,90,16,15,,,,,,4,0,1,0,0,9.5,68,,,,,,8,
1991*,25,KAN,LDE,90,16,16,,,,,,3,0,2,10,0,8,65,,,,,,12,PB
1992*,26,KAN,LDE,90,16,16,1,22,1,22,,2,0,2,0,0,14.5,77,,,,,,13,PB
1993*+,27,KAN,LDE,90,16,15,1,3,0,3,,4,0,3,0,0,15,55,,,,,,17,AP DPoY-5 AP1 PB
1994*,28,KAN,LDE,90,14,13,1,41,0,41,,5,0,1,6,0,11.5,46,42,4,,,,10,PB
1995*,29,KAN,LDE,90,16,14,,,,,,4,0,1,0,0,12,55,42,13,,,,17,AP DPoY-3 AP2 PB
1996,30,KAN,LDE,90,16,16,,,,,,1,0,0,0,0,6,41,34,7,,,,7,
1997*,31,DEN,LDE,90,14,13,,,,,,1,0,0,0,0,8.5,34,29,5,,,,13,AP2 PB
1998,32,DEN,LDE,90,14,14,1,2,0,2,,1,0,0,0,0,4,27,20,7,,,,7,
1999,33,DEN,LDE,90,15,8,0,0,0,0,1,,,,,,6.5,31,25,6,7,,,5,
2000,34,SDG,de,91,10,0,0,0,0,0,1,,,,,,0,6,5,1,1,,,1,
Career,,,,,191,162,4,68,1,41,2,30,0,12,19,1,104.5,625,197,43,8,,,121,
9 yrs,,KAN,,,138,127,3,66,1,41,,28,0,12,19,1,85.5,527,118,24,,,,95,
3 yrs,,DEN,,,43,35,1,2,0,2,1,2,0,0,0,0,19,92,74,18,7,,,25,
1 yr,,SDG,,,10,0,0,0,0,0,1,,,,,,0,6,5,1,1,,,1,
