Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1962,22,BOS,MLB,85,14,13,2,3,0,3,,,,,,,1,,7,UPI AFL RoY-2
1963*,23,BOS,MLB,85,14,13,3,42,0,26,,,,,,,6.5,,13,AP2 PB
1964*+,24,BOS,MLB,85,14,14,5,75,0,26,,,,,,,4.5,,14,AP1 PB
1965*+,25,BOS,MLB,85,14,14,3,31,0,26,,,,,,,2,,15,AP1 PB
1966*+,26,BOS,MLB,85,14,14,4,43,0,41,,,,,,,0,,14,AP1 PB
1967*+,27,BOS,MLB,85,13,13,4,7,0,7,,,0,2,0,0,1,1,12,AP1 PB
1968,28,BOS,MLB,85,8,8,3,22,0,14,,,,,,,3,,4,
1969*+,29,MIA,MLB,85,13,13,3,27,0,24,,,0,1,0,0,2,,10,AP1 PB
1970,30,MIA,MLB,85,14,14,,,,,,,,,,,0,,8,
1971,31,MIA,MLB,85,14,14,1,16,0,16,,,1,0,0,0,1,,9,
1972*,32,MIA,MLB,85,14,14,2,17,0,10,,,,,,,1,,13,AP DPoY-2 AP2 PB
1973*,33,MIA,MLB,85,13,13,,,,,,,0,3,13,1,1,,11,PB
1974,34,MIA,MLB,85,13,13,2,29,0,16,,,,,,,0,,7,
1975,,Missed season - Injured (thumb),,,,,,,,,,,,,,,,,,
1976,36,MIA,lb,85,11,4,,,,,,,,,,,1,,2,
Career,,,,,183,174,32,312,0,41,,,1,6,13,2,24,1,139,
7 yrs,,BOS,,,91,89,24,223,0,41,,,0,2,0,1,18,1,79,
7 yrs,,MIA,,,92,85,8,89,0,24,,,1,4,13,1,6,,60,
