Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1969*,22,BUF,RB,32,13,13,181,697,2,32,3.9,53.6,13.9,30,343,11.4,3,55,2.3,26.4,211,4.9,1040,5,6,8,UPI AFL RoY-4 PB
1970,23,BUF,RB,32,8,8,120,488,5,56,4.1,61,15,10,139,13.9,0,36,1.3,17.4,130,4.8,627,5,6,5,
1971,24,BUF,RB,32,14,14,183,742,5,46,4.1,53,13.1,21,162,7.7,0,38,1.5,11.6,204,4.4,904,5,5,6,
1972*+,25,BUF,RB,32,14,14,292,1251,6,94,4.3,89.4,20.9,27,198,7.3,0,25,1.9,14.1,319,4.5,1449,6,8,13,AP MVP-3 AP OPoY-2 AP1 PB
1973*+,26,BUF,RB,32,14,14,332,2003,12,80,6,143.1,23.7,6,70,11.7,0,24,0.4,5,338,6.1,2073,12,7,19,AP MVP-1 AP OPoY-1 AP1 PB
1974*+,27,BUF,RB,32,14,14,270,1125,3,41,4.2,80.4,19.3,15,189,12.6,1,29,1.1,13.5,285,4.6,1314,4,7,14,AP MVP-4 AP OPoY-4 AP1 PB
1975*+,28,BUF,RB,32,14,14,329,1817,16,88,5.5,129.8,23.5,28,426,15.2,7,64,2,30.4,357,6.3,2243,23,7,25,AP MVP-2 AP OPoY-2 AP1 PB
1976*+,29,BUF,RB,32,14,13,290,1503,8,75,5.2,107.4,20.7,22,259,11.8,1,43,1.6,18.5,312,5.6,1762,9,6,14,AP OPoY-3 AP1 PB
1977,30,BUF,RB,32,7,7,126,557,0,39,4.4,79.6,18,16,138,8.6,0,18,2.3,19.7,142,4.9,695,0,2,3,
1978,31,SFO,RB,32,10,10,161,593,1,34,3.7,59.3,16.1,21,172,8.2,2,19,2.1,17.2,182,4.2,765,3,5,5,
1979,32,SFO,RB,32,13,8,120,460,3,22,3.8,35.4,9.2,7,46,6.6,0,14,0.5,3.5,127,4,506,3,3,4,
Career,,,,,135,129,2404,11236,61,94,4.7,83.2,17.8,203,2142,10.6,14,64,1.5,15.9,2607,5.1,13378,75,62,116,
9 yrs,,BUF,,,112,111,2123,10183,57,94,4.8,90.9,19,175,1924,11,12,64,1.6,17.2,2298,5.3,12107,69,54,107,
2 yrs,,SFO,,,23,18,281,1053,4,34,3.7,45.8,12.2,28,218,7.8,2,19,1.2,9.5,309,4.1,1271,6,8,9,
