Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1997,22,STL,LT,76,13,9,,,,,,0,0,1,0,0,0,,,,,,,4,
1998,23,STL,LT,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,7,
1999*+,24,STL,LT,76,16,16,,,,,,,,,,,0,,,,,,,18,AP1 PB
2000*,25,STL,LT,76,16,16,,,,,,,,,,,0,,,,,,,22,AP2 PB
2001*+,26,STL,LT,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,18,AP1 PB
2002*,27,STL,LT,76,10,10,,,,,,,,,,,0,,,,,,,6,PB
2003*+,28,STL,LT,76,16,16,,,,,,0,0,1,0,0,0,,,,,,,17,AP1 PB
2004*,29,STL,LT,76,16,16,,,,,,,,,,,0,,,,,,,10,PB
2005*,30,STL,LT,76,16,16,,,,,,0,0,2,0,0,0,,,,,,,10,PB
2006,31,STL,LT,76,8,8,,,,,,0,0,1,0,0,0,,,,,,,4,
2007,32,STL,t,76,1,1,,,,,,,,,,,0,,,,,,,0,
2008,33,STL,LT,76,14,14,,,,,,,,,,,0,,,,,,,5,
2009,34,CHI,LT,76,11,11,,,,,,,,,,,0,,,,,,,5,
Career,,,,,169,165,,,,,,0,0,7,0,0,0,,,,,,,126,
12 yrs,,STL,,,158,154,,,,,,0,0,7,0,0,0,,,,,,,121,
1 yr,,CHI,,,11,11,,,,,,,,,,,0,,,,,,,5,
