Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1986,22,NOR,lb,56,16,0,,,,,,,,,,,4,26,,,,2,
1987,23,NOR,ROLB,56,12,12,1,10,0,10,,3,0,3,1,0,10.5,49,,,,8,
1988,24,NOR,ROLB,56,15,14,,,,,,3,0,1,0,0,7,51,,,,8,
1989*,25,NOR,ROLB,56,16,15,1,14,0,14,,5,0,1,0,0,16.5,56,,,,14,AP2 PB
1990*,26,NOR,ROLB,56,16,16,,,,,,4,0,0,0,0,11,63,,,,15,AP2 PB
1991*+,27,NOR,ROLB,56,16,16,1,39,1,39,,6,0,1,5,0,17,60,,,,23,AP DPoY-1 AP1 PB
1992*+,28,NOR,ROLB,56,16,16,,,,,,3,0,1,0,0,10.5,49,,,,19,AP DPoY-13 AP1 PB
1993*,29,DET,ROLB,56,14,14,3,16,0,14,,5,0,1,0,0,6.5,29,,,,10,PB
1994,30,DET,rolb,56,16,7,,,,,,0,0,1,5,0,3.5,28,21,7,,3,
1995,31,OAK,RDE,56,16,16,,,,,,5,0,0,0,0,13,36,31,5,,7,
1996,32,OAK,RDE,56,16,16,,,,,,2,0,1,49,0,6,26,21,5,,7,
1997,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,
1998,34,OAK,de,56,16,0,,,,,,0,0,1,0,0,2,17,12,5,,2,
Career,,,,,185,142,6,79,1,39,,36,0,11,60,0,107.5,490,85,22,,118,
7 yrs,,NOR,,,107,89,3,63,1,39,,24,0,7,6,0,76.5,354,,0,,89,
3 yrs,,OAK,,,48,32,,,,,,7,0,2,49,0,21,79,64,15,,16,
2 yrs,,DET,,,30,21,3,16,0,14,,5,0,2,5,0,10,57,21,7,,13,
