Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011*+,21,ARI,RCB,21,16,16,2,1,0,1,13,0,4,2,-1,0,1,64,59,5,1,1,,22,AP1 PB
2012*,22,ARI,LCB,21,16,16,7,64,0,31,16,0,7,5,60,0,0,55,52,3,2,0,,13,PB
2013*+,23,ARI,LCB,21,16,16,3,59,0,43,13,0,3,2,0,0,0,42,40,2,0,0,,16,AP1 PB
2014*,24,ARI,LCB,21,16,16,3,30,1,30,7,,,,,,1,50,43,7,0,1,,9,PB
2015*+,25,ARI,LCB,21,16,16,2,41,0,40,8,1,4,0,0,0,0,35,35,0,1,0,,15,AP1 PB
2016*,26,ARI,LCB,21,16,16,3,27,0,25,6,0,1,1,0,0,0,51,45,6,1,0,,10,PB
2017*,27,ARI,LCB,21,16,16,1,22,0,22,8,0,0,1,47,0,0,34,30,4,0,0,,9,PB
2018*,28,ARI,LCB,21,16,16,2,0,0,0,5,0,0,1,49,0,1,54,45,9,2,1,,9,PB
2019,29,ARI,RCB,21,10,10,2,0,0,0,7,1,0,0,0,0,1,53,46,7,3,1,,3,
2020,30,ARI,LCB,21,16,16,3,7,0,7,8,,,,,,0,61,52,9,0,0,,8,
2021,31,MIN,LCB,7,13,13,1,66,1,66,5,,,,,,0,45,34,11,2,0,,5,
2022,32,MIN,CB,7,6,6,1,6,0,6,7,,,,,,0,25,21,4,1,0,,,
Career,,,,,173,173,30,323,2,66,103,2,19,12,155,0,4,569,502,67,13,4,,119,
10 yrs,,ARI,,,154,154,28,251,1,43,91,2,19,12,155,0,4,499,447,52,10,4,,114,
2 yrs,,MIN,,,19,19,2,72,1,66,12,,,,,,0,70,55,15,3,0,,5,
