Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1964*+,22,WAS,FS,26,14,14,12,140,1,35,,,0,2,0,0,1.5,,14,AP RoY-2 UPI RoY-2 AP1 PB
1965*+,23,WAS,SS,26,14,14,6,118,0,43,,,1,5,56,1,0.5,,14,AP1 PB
1966,24,WAS,FS,26,13,13,2,0,0,0,,,,,,,0,,5,
1967,25,WAS,FS,26,13,12,8,75,0,32,,,0,1,0,0,0,,7,
1968,26,MIN,FS,22,14,14,7,82,0,29,,,0,3,0,0,0,,11,AP2
1969*,27,MIN,FS,22,14,14,5,82,1,77,,,0,1,3,0,0,,19,AP2 PB
1970,28,MIN,FS,22,14,14,6,90,0,40,,,1,0,0,0,0,,11,
1971*,29,MIN,FS,22,14,14,6,112,0,31,,,0,2,6,0,0,,14,PB
1972*,30,MIN,FS,22,14,14,6,109,1,35,,,1,1,24,1,0,,12,AP2 PB
1973*,31,MIN,FS,22,14,14,4,28,0,24,,,0,1,4,0,0,,10,PB
1974*,32,MIN,FS,22,14,14,2,53,0,45,,,0,2,0,0,0,,9,PB
1975*+,33,MIN,FS,22,14,14,10,201,0,81,,,,,,,0,,18,AP1 PB
1976,34,MIN,FS,22,14,14,2,21,0,19,,,,,,,0,,8,
1977,35,MIN,FS,22,14,14,2,25,0,25,,,,,,,0,,5,
1978,36,MIN,FS,22,16,2,,,,,,,,,,,0,,1,
1979,37,MIN,FS,22,16,8,3,49,0,18,,,0,1,0,0,0,,4,
Career,,,,,226,203,81,1185,3,81,,,3,19,163,3,2,,162,
12 yrs,,MIN,,,172,150,53,852,2,81,,,2,11,107,2,0,,122,
4 yrs,,WAS,,,54,53,28,333,1,43,,,1,8,56,1,2,,40,
