Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1964*,22,CLE,LE,42,14,14,52,920,17.7,9,62,3.7,65.7,,,,,,,,52,17.7,920,9,0,16,AP RoY-2 UPI RoY-3 PB
1965,23,CLE,wr,42,1,0,3,30,10,0,13,3,30,,,,,,,,3,10,30,0,0,0,
1966,24,CLE,LE,42,14,14,36,741,20.6,5,51,2.6,52.9,,,,,,,,36,20.6,741,5,0,11,
1967,25,CLE,LE,42,14,14,32,702,21.9,8,49,2.3,50.1,2,10,0,18,5,0.7,0.1,34,20.9,712,8,0,9,
1968*,26,CLE,LE,42,14,14,50,1067,21.3,12,65,3.6,76.2,,,,,,,,50,21.3,1067,12,0,16,AP2 PB
1969*,27,CLE,WR,42,14,14,42,886,21.1,10,82,3,63.3,2,23,0,16,11.5,1.6,0.1,44,20.7,909,10,0,12,PB
1970*,28,MIA,WR,42,11,11,28,703,25.1,6,54,2.5,63.9,2,13,0,16,6.5,1.2,0.2,30,23.9,716,6,0,11,PB
1971*+,29,MIA,WR,42,14,14,43,996,23.2,11,86,3.1,71.1,9,115,0,39,12.8,8.2,0.6,52,21.4,1111,11,3,20,AP MVP-6 AP1 PB
1972*,30,MIA,WR,42,12,11,29,606,20.9,3,47,2.4,50.5,4,23,0,21,5.8,1.9,0.3,33,19.1,629,3,1,12,AP2 PB
1973*+,31,MIA,WR,42,14,14,29,514,17.7,11,45,2.1,36.7,1,15,0,15,15,1.1,0.1,30,17.6,529,11,1,11,AP1 PB
1974*,32,MIA,WR,42,9,9,27,536,19.9,2,54,3,59.6,,,,,,,,27,19.9,536,2,0,9,PB
1975,,Missed season - Memphis Southmen (World Football League),,,,,,,,,,,,,,,,,,,,,,,,,
1976,34,CLE,WR,42,14,14,38,613,16.1,6,37,2.7,43.8,1,3,0,3,3,0.2,0.1,39,15.8,616,6,3,8,
1977,35,CLE,wr,42,12,9,18,251,13.9,2,52,1.5,20.9,1,2,0,2,2,0.2,0.1,19,13.3,253,2,0,3,
Career,,,,,157,152,427,8565,20.1,85,86,2.7,54.6,22,204,0,39,9.3,1.3,0.1,449,19.5,8769,85,8,138,
8 yrs,,CLE,,,97,93,271,5210,19.2,52,82,2.8,53.7,6,38,0,18,6.3,0.4,0.1,277,18.9,5248,52,3,75,
5 yrs,,MIA,,,60,59,156,3355,21.5,33,86,2.6,55.9,16,166,0,39,10.4,2.8,0.3,172,20.5,3521,33,5,63,
