Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1998,22,IND,QB,18,16,16,3-13-2000,326,575,56.7,3739,26,4.5,28,4.9,191,78,6.5,5.2,11.5,233.7,71.2,,22,109,3.7,6.08,4.84,1,1,11,AP ORoY-2
1999*,23,IND,QB,18,16,16,13-3-0,331,533,62.1,4135,26,4.9,15,2.8,197,80,7.8,7.5,12.5,258.4,90.7,,14,116,2.6,7.35,7.06,6,7,18,AP MVP-2 AP OPoY-3 AP2 PB
2000*,24,IND,QB,18,16,16,10-6-2000,357,571,62.5,4413,33,5.8,15,2.6,213,78,7.7,7.7,12.4,275.8,94.7,,20,131,3.4,7.25,7.22,2,3,17,AP MVP-5 AP OPoY-8 AP2 PB
2001,25,IND,QB,18,16,16,6-10-2000,343,547,62.7,4131,26,4.8,23,4.2,201,86,7.6,6.6,12,258.2,84.1,,29,232,5,6.77,5.88,,,15,
2002*,26,IND,QB,18,16,16,10-6-2000,392,591,66.3,4200,27,4.6,19,3.2,213,69,7.1,6.6,10.7,262.5,88.8,,23,145,3.7,6.6,6.09,4,5,15,PB
2003*+,27,IND,QB,18,16,16,12-4-2000,379,566,67,4267,29,5.1,10,1.8,213,79,7.5,7.8,11.3,266.7,99,,18,107,3.1,7.12,7.35,3,4,18,AP MVP-1 AP OPoY-3 AP1 PB
2004*+,28,IND,QB,18,16,16,12-4-2000,336,497,67.6,4557,49,9.9,10,2,233,80,9.2,10.2,13.6,284.8,121.1,,13,101,2.5,8.74,9.78,2,4,21,AP MVP-1 AP OPoY-1 AP1 PB
2005*+,29,IND,QB,18,16,16,14-2-0,305,453,67.3,3747,28,6.2,10,2.2,198,80,8.3,8.5,12.3,234.2,104.1,,17,81,3.6,7.8,8.03,1,1,18,AP MVP-2 AP OPoY-2 AP1 PB
2006*,30,IND,QB,18,16,16,12-4-2000,362,557,65,4397,31,5.6,9,1.6,242,68,7.9,8.3,12.1,274.8,101,86.4,14,86,2.5,7.55,7.93,3,3,20,AP MVP-3 AP OPoY-3 AP2 PB
2007*,31,IND,QB,18,16,16,13-3-0,337,515,65.4,4040,31,6,14,2.7,207,73,7.8,7.8,12,252.5,98,76.9,21,124,3.9,7.31,7.29,1,2,17,PB
2008*+,32,IND,QB,18,16,16,12-4-2000,371,555,66.8,4002,27,4.9,12,2.2,213,75,7.2,7.2,10.8,250.1,95,76.5,14,86,2.5,6.88,6.88,4,6,16,AP MVP-1 AP OPoY-2 AP1 PB
2009*+,33,IND,QB,18,16,16,14-2-0,393,571,68.8,4500,33,5.8,16,2.8,241,80,7.9,7.8,11.5,281.3,99.9,80.7,10,74,1.7,7.62,7.51,7,7,17,AP MVP-1 AP OPoY-3 AP1 PB
2010*,34,IND,QB,18,16,16,10-6-2000,450,679,66.3,4700,33,4.9,17,2.5,253,73,6.9,6.8,10.4,293.8,91.9,71.6,16,91,2.3,6.63,6.48,0,2,16,PB
2011,,Missed season - Injured (neck),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012*+,36,DEN,QB,18,16,16,13-3-0,400,583,68.6,4659,37,6.3,11,1.9,231,71,8,8.4,11.6,291.2,105.8,79.6,21,137,3.5,7.49,7.89,3,3,15,AP MVP-2 AP OPoY-2 AP CPoY-1 AP1 PB
2013*+,37,DEN,QB,18,16,16,13-3-0,450,659,68.3,5477,55,8.3,10,1.5,291,78,8.3,9.3,12.2,342.3,115.1,79,18,120,2.7,7.91,8.87,2,2,19,AP MVP-1 AP OPoY-1 AP1 PB
2014*,38,DEN,QB,18,16,16,12-4-2000,395,597,66.2,4727,39,6.5,15,2.5,227,86,7.9,8.1,12,295.4,101.5,72,17,118,2.8,7.51,7.68,1,1,16,PB
2015,39,DEN,QB,18,10,9,7-2-2000,198,331,59.8,2249,9,2.7,17,5.1,110,75,6.8,5,11.4,224.9,67.9,44.2,16,95,4.6,6.21,4.52,3,3,2,
Career,,,,,266,265,186-79-0,6125,9380,65.3,71940,539,5.7,251,2.7,3674,86,7.7,7.6,11.7,270.5,96.5,,303,1953,3.1,7.23,7.17,43,54,271,
13 yrs,,IND,,,208,208,141-67-0,4682,7210,64.9,54828,399,5.5,198,2.7,2815,86,7.6,7.5,11.7,263.6,94.9,,231,1483,3.1,7.17,7.04,34,45,219,
4 yrs,,DEN,,,58,57,45-12-0,1443,2170,66.5,17112,140,6.5,53,2.4,859,86,7.9,8.1,11.9,295,101.7,,72,470,3.2,7.42,7.61,9,9,52,
