Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1979,24,NYG,QB,11,12,11,6-5-0,134,265,50.6,1743,13,4.9,14,5.3,61,6.6,5.2,13,145.3,66,39,319,12.8,4.68,3.47,0,0,6,AP ORoY-2
1980,25,NYG,QB,11,13,13,3-10-0,193,402,48,2321,15,3.7,19,4.7,58,5.8,4.4,12,178.5,58.9,36,233,8.2,4.77,3.5,1,1,6,
1981,26,NYG,QB,11,10,10,5-5-0,172,316,54.4,2031,11,3.5,9,2.8,80,6.4,5.8,11.8,203.1,74,38,301,10.7,4.89,4.36,0,2,6,
1982,,Missed season - Injured (knee),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,28,NYG,qb,11,2,0,,7,13,53.8,130,0,0,1,7.7,36,10,6.5,18.6,65,56.6,3,35,18.8,5.94,3.13,,,0,
1984,29,NYG,QB,11,16,16,9-7-0,286,533,53.7,4044,22,4.1,18,3.4,65,7.6,6.9,14.1,252.8,78.1,55,434,9.4,6.14,5.51,1,1,12,
1985*,30,NYG,QB,11,16,16,10-6-0,275,495,55.6,3829,22,4.4,20,4,70,7.7,6.8,13.9,239.3,78.6,52,396,9.5,6.28,5.44,0,0,14,PB
1986,31,NYG,QB,11,16,16,14-2-0,259,468,55.3,3487,21,4.5,22,4.7,49,7.5,6.2,13.5,217.9,74.6,45,359,8.8,6.1,4.99,2,4,13,
1987,32,NYG,QB,11,9,9,4-5-0,163,282,57.8,2230,17,6,9,3.2,50,7.9,7.7,13.7,247.8,90,35,225,11,6.32,6.12,0,1,7,
1988,33,NYG,QB,11,15,15,9-6-0,263,479,54.9,3359,21,4.4,11,2.3,62,7,6.9,12.8,223.9,82.1,53,405,10,5.55,5.41,1,1,13,
1989,34,NYG,QB,11,15,15,11-4-0,228,405,56.3,3061,14,3.5,14,3.5,62,7.6,6.7,13.4,204.1,77.6,40,244,9,6.33,5.54,2,2,12,
1990,35,NYG,QB,11,14,14,11-3-0,184,311,59.2,2284,15,4.8,4,1.3,80,7.3,7.7,12.4,163.1,92.7,20,104,6,6.59,6.95,1,1,10,
1991,36,NYG,qb,11,6,4,1-3-0,82,141,58.2,993,8,5.7,4,2.8,38,7,6.9,12.1,165.5,87,14,79,9,5.9,5.77,0,1,4,
1992,37,NYG,qb,11,4,4,1-3-0,83,137,60.6,912,5,3.6,3,2.2,38,6.7,6.4,11,228,83.3,10,67,6.8,5.75,5.51,,,4,
1993*,38,NYG,QB,11,16,16,11-5-0,247,400,61.8,3038,15,3.8,9,2.3,62,7.6,7.3,12.3,189.9,88.3,37,217,8.5,6.46,6.22,3,3,11,AP MVP-8 PB
Career,,,,,164,159,95-64-0,2576,4647,55.4,33462,199,4.3,157,3.4,80,7.2,6.5,13,204,78.5,477,3418,9.3,5.86,5.26,11,17,118,
