Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2004,23,SDG,QB,17,2,0,,5,8,62.5,33,1,12.5,0,0,3,13,4.1,6.6,6.6,16.5,110.9,,0,0,0,4.13,6.63,,,0,
2005,24,SDG,QB,17,2,0,,12,22,54.5,115,0,0,1,4.5,6,22,5.2,3.2,9.6,57.5,50.4,,3,16,12,3.96,2.16,,,0,
2006*,25,SDG,QB,17,16,16,14-2-0,284,460,61.7,3388,22,4.8,9,2,167,57,7.4,7.4,11.9,211.8,92,67.4,27,144,5.5,6.66,6.73,4,4,18,PB
2007,26,SDG,QB,17,16,16,11-5-0,277,460,60.2,3152,21,4.6,15,3.3,157,49,6.9,6.3,11.4,197,82.4,54.5,22,163,4.6,6.2,5.67,1,1,13,
2008,27,SDG,QB,17,16,16,8-8-0,312,478,65.3,4009,34,7.1,11,2.3,191,67,8.4,8.8,12.8,250.6,105.5,63.2,25,151,5,7.67,8.04,3,4,17,AP MVP-6 AP OPoY-4 AP CPoY-8
2009*,28,SDG,QB,17,16,16,13-3-0,317,486,65.2,4254,28,5.8,9,1.9,208,81,8.8,9.1,13.4,265.9,104.4,77.2,25,167,4.9,8,8.3,2,4,19,AP MVP-3 AP OPoY-4 PB
2010*,29,SDG,QB,17,16,16,9-7-0,357,541,66,4710,30,5.5,13,2.4,234,59,8.7,8.7,13.2,294.4,101.8,66.9,38,227,6.6,7.74,7.77,1,1,17,AP OPoY-4 PB
2011*,30,SDG,QB,17,16,16,8-8-0,366,582,62.9,4624,27,4.6,20,3.4,234,58,7.9,7.3,12.6,289,88.7,64.9,30,198,4.9,7.23,6.64,1,1,17,PB
2012,31,SDG,QB,17,16,16,7-9-0,338,527,64.1,3606,26,4.9,15,2.8,184,80,6.8,6.5,10.7,225.4,88.6,42.6,49,311,8.5,5.72,5.45,,,10,
2013*,32,SDG,QB,17,16,16,9-7-0,378,544,69.5,4478,32,5.9,11,2,233,60,8.2,8.5,11.8,279.9,105.5,75.1,30,150,5.2,7.54,7.79,4,4,16,AP CPoY-1 PB
2014,33,SDG,QB,17,16,16,9-7-0,379,570,66.5,4286,31,5.4,18,3.2,213,59,7.5,7.2,11.3,267.9,93.8,63.6,36,189,5.9,6.76,6.45,3,3,13,
2015,34,SDG,QB,17,16,16,4-12-0,437,661,66.1,4792,29,4.4,13,2,227,80,7.2,7.2,11,299.5,93.8,57.3,40,264,5.7,6.46,6.45,1,2,12,
2016*,35,SDG,QB,17,16,16,5-11-0,349,578,60.4,4386,33,5.7,21,3.6,215,59,7.6,7.1,12.6,274.1,87.9,58.7,36,188,5.9,6.84,6.37,1,1,13,PB
2017*,36,LAC,QB,17,16,16,9-7-0,360,575,62.6,4515,28,4.9,10,1.7,217,75,7.9,8,12.5,282.2,96,61.1,18,120,3,7.41,7.6,2,2,13,PB
2018*,37,LAC,QB,17,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,5.9,7.6,7.79,3,3,14,PB
2019,38,LAC,QB,17,16,16,5-11-0,390,591,66,4615,23,3.9,20,3.4,217,84,7.8,7.1,11.8,288.4,88.5,50.5,34,222,5.4,7.03,6.32,1,2,13,
2020,39,IND,QB,17,16,16,11-5-0,369,543,68,4169,24,4.4,11,2,200,55,7.7,7.7,11.3,260.6,97,55,19,118,3.4,7.21,7.18,2,3,13,
Career,,,,,244,240,134-106-0,5277,8134,64.9,63440,421,5.2,209,2.6,3141,84,7.8,7.7,12,260,95.2,,464,2832,5.4,7.05,6.93,29,35,218,
16 yrs,,LAC-SDG,,,228,224,123-101-0,4908,7591,64.7,59271,397,5.2,198,2.6,2941,84,7.8,7.7,12.1,260,95.1,,445,2714,5.5,7.04,6.92,27,32,205,
1 yr,,IND,,,16,16,11-5-0,369,543,68,4169,24,4.4,11,2,200,55,7.7,7.7,11.3,260.6,97,,19,118,3.4,7.21,7.18,2,3,13,
