Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1985,22,PHI,qb,12,6,4,1-3-0,34,81,42,548,1,1.2,8,9.9,,69,6.8,2.6,16.1,91.3,29.8,20,150,19.8,3.94,0.57,0,1,3,
1986,23,PHI,qb,12,15,5,1-3-1,111,209,53.1,1391,8,3.8,7,3.3,,75,6.7,5.9,12.5,92.7,72.9,72,489,25.6,3.21,2.66,1,1,7,
1987,24,PHI,QB,12,12,12,7-5-0,223,406,54.9,2786,23,5.7,12,3,,70,6.9,6.7,12.5,232.2,83,54,380,11.7,5.23,5.06,2,3,11,
1988*,25,PHI,QB,12,16,16,10-6-0,301,560,53.8,3808,24,4.3,16,2.9,,80,6.8,6.4,12.7,238,77.6,57,442,9.2,5.46,5.07,3,3,17,AP MVP-2 AP OPoY-3 AP2 PB
1989*,26,PHI,QB,12,16,16,11-5-0,290,532,54.5,3400,21,3.9,15,2.8,,66,6.4,5.9,11.7,212.5,75.5,45,343,7.8,5.3,4.86,4,5,16,PB
1990*,27,PHI,QB,12,16,16,10-6-0,271,465,58.3,3466,30,6.5,13,2.8,,95,7.5,7.5,12.8,216.6,91.6,49,431,9.5,5.9,5.93,3,3,20,AP MVP-2 AP OPoY-2 PB
1991,28,PHI,qb,12,1,1,1-0-0,1,4,25,19,0,0,0,0,,19,4.8,4.8,19,19,46.9,2,16,33.3,0.5,0.5,,,0,
1992,29,PHI,QB,12,15,15,10-5-0,233,384,60.7,2775,19,4.9,11,2.9,,75,7.2,6.9,11.9,185,87.3,60,437,13.5,5.27,5.01,1,1,15,AP2
1993,30,PHI,qb,12,4,4,4-0-0,76,110,69.1,850,5,4.5,5,4.5,,80,7.7,6.6,11.2,212.5,88.1,7,33,6,6.98,5.91,2,2,3,
1994,31,PHI,QB,12,14,14,7-7-0,265,490,54.1,3229,16,3.3,13,2.7,143,93,6.6,6,12.2,230.6,74.4,43,333,8.1,5.43,4.94,2,2,11,
1995,32,PHI,qb,12,7,4,1-3-0,69,121,57,605,3,2.5,5,4.1,36,33,5,3.6,8.8,86.4,61.5,13,79,9.7,3.93,2.69,,,2,
1996,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,34,MIN,qb,7,6,3,1-2-0,44,88,50,501,6,6.8,4,4.5,27,34,5.7,5,11.4,83.5,71.3,7,60,7.4,4.64,4.01,,,2,
1998*+,35,MIN,QB,7,15,14,13-1-0,259,425,60.9,3704,34,8,10,2.4,165,67,8.7,9.3,14.3,246.9,106,20,132,4.5,8.03,8.54,0,1,19,AP MVP-2 AP OPoY-2 AP CPoY-2 AP1 PB
1999,36,MIN,qb,7,6,6,2-4-0,124,200,62,1475,8,4,9,4.5,72,61,7.4,6.2,11.9,245.8,79.1,15,101,7,6.39,5.25,,,5,
2000,37,DAL,qb,7,6,3,1-2-0,74,125,59.2,849,6,4.8,4,3.2,34,76,6.8,6.3,11.5,141.5,82.4,8,45,6,6.05,5.59,,,4,
2001,38,BAL,qb,1,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,31,30,6.4,6.1,10.6,95.5,81.3,12,66,11.9,5.02,4.72,1,2,2,
Career,,,,,161,135,82-52-1,2429,4289,56.6,29979,207,4.8,134,3.1,508,95,7,6.5,12.3,186.2,81.5,484,3537,10.1,5.54,5.14,19,24,137,
11 yrs,,PHI,,,122,107,63-43-1,1874,3362,55.7,22877,150,4.5,105,3.1,179,95,6.8,6.3,12.2,187.5,78.7,422,3133,11.2,5.22,4.76,18,21,105,
3 yrs,,MIN,,,27,23,16-7-0,427,713,59.9,5680,48,6.7,23,3.2,264,67,8,7.9,13.3,210.4,94.2,42,293,5.6,7.14,7.04,0,1,26,
1 yr,,BAL,,,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,31,30,6.4,6.1,10.6,95.5,81.3,12,66,11.9,5.02,4.72,1,2,2,
1 yr,,DAL,,,6,3,1-2-0,74,125,59.2,849,6,4.8,4,3.2,34,76,6.8,6.3,11.5,141.5,82.4,8,45,6,6.05,5.59,,,4,
