Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1988,24,MIN,LG,64,16,15,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,7,
1989*,25,MIN,LG,64,14,13,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,7,PB
1990*+,26,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,13,AP1 PB
1991*,27,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,0,13,AP2 PB
1992*+,28,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,16,AP1 PB
1993*+,29,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,12,AP1 PB
1994*+,30,MIN,LG,64,16,16,0,0,0,,0,,0,0,1,0,0,,0,,0,0,0,0.00%,0,0,,0,0,0,12,AP1 PB
1995*+,31,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,23,AP1 PB
1996*+,32,MIN,LG,64,16,16,2,1,0,,1,0.5,0.1,0.1,,,,,,,,,,,,2,0.5,1,0,0,12,AP1 PB
1997*,33,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,13,AP2 PB
1998*+,34,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,18,AP1 PB
1999*,35,MIN,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,12,PB
2000*,36,TAM,LG,64,16,16,0,0,0,0,0,,0,0,2,1,2,2,1,1,2,0.1,0.1,50.00%,1,1,2,2,1,0,9,PB
2001,37,TAM,LG,64,16,16,0,0,0,,0,,0,0,,,,,,,,,,,,0,,0,0,,8,
Career,,,,,222,220,2,1,0,0,1,0.5,0,0,3,1,2,2,1,1,2,0,0,33.30%,0.7,3,1,3,1,0,175,
12 yrs,,MIN,,,190,188,2,1,0,0,1,0.5,0,0,1,0,0,,0,0,0,0,0,0%,0,2,0.5,1,0,0,158,
2 yrs,,TAM,,,32,32,0,0,0,0,0,,0,0,2,1,2,2,1,1,2,0,0.1,50.00%,1,1,2,2,1,0,17,
