Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1998*+,21,MIN,WR,84,16,11,124,69,1313,19,17,51,61,4.3,82.1,55.60%,10.6,1,4,0,0,4,4,0.3,0.1,70,18.8,1317,17,2,18,AP MVP-3 AP OPoY-3 AP ORoY-1 AP1 PB
1999*,22,MIN,WR,84,16,16,137,80,1413,17.7,11,53,67,5,88.3,58.40%,10.3,4,43,0,3,15,10.8,2.7,0.3,84,17.3,1456,11,3,15,PB
2000*+,23,MIN,WR,84,16,16,129,77,1437,18.7,15,57,78,4.8,89.8,59.70%,11.1,3,5,0,0,9,1.7,0.3,0.2,80,18,1442,15,2,17,AP OPoY-5 AP1 PB
2001,24,MIN,WR,84,16,16,154,82,1233,15,10,59,73,5.1,77.1,53.20%,8,3,38,0,2,18,12.7,2.4,0.2,85,15,1271,10,0,11,
2002*,25,MIN,WR,84,16,16,185,106,1347,12.7,7,67,60,6.6,84.2,57.30%,7.3,6,51,0,3,25,8.5,3.2,0.4,112,12.5,1398,7,1,13,PB
2003*+,26,MIN,WR,84,16,16,172,111,1632,14.7,17,77,72,6.9,102,64.50%,9.5,6,18,0,1,11,3,1.1,0.4,117,14.1,1650,17,1,18,AP1 PB
2004,27,MIN,WR,84,13,13,86,49,767,15.7,13,43,82,3.8,59,57.00%,8.9,,,,,,,,,49,15.7,767,13,1,8,
2005,28,OAK,WR,18,16,15,123,60,1005,16.8,8,46,79,3.8,62.8,48.80%,8.2,,,,,,,,,60,16.8,1005,8,0,8,
2006,29,OAK,WR,18,13,13,96,42,553,13.2,3,27,51,3.2,42.5,43.80%,5.8,,,,,,,,,42,13.2,553,3,0,3,
2007*+,30,NWE,WR,81,16,16,160,98,1493,15.2,23,74,65,6.1,93.3,61.30%,9.3,,,,,,,,,98,15.2,1493,23,0,19,AP OPoY-2 AP CPoY-2 AP1 PB
2008,31,NWE,WR,81,16,16,125,69,1008,14.6,11,46,76,4.3,63,55.20%,8.1,2,0,0,0,2,0,0,0.1,71,14.2,1008,11,3,11,
2009,32,NWE,WR,81,16,16,137,83,1264,15.2,13,62,71,5.2,79,60.60%,9.2,,,,,,,,,83,15.2,1264,13,2,13,
2010,33,3TM,,,16,11,63,28,393,14,5,,37,1.8,24.6,44.40%,6.2,,,,,,,,,28,14,393,5,0,4,
,,MIN,WR,84,4,4,25,13,174,13.4,2,10,37,3.3,43.5,52.00%,7,,,,,,,,,13,13.4,174,2,0,1,
,,NWE,WR,81,4,3,22,9,139,15.4,3,6,35,2.3,34.8,40.90%,6.3,,,,,,,,,9,15.4,139,3,0,2,
,,TEN,WR,84,8,4,16,6,80,13.3,0,4,26,0.8,10,37.50%,5,,,,,,,,,6,13.3,80,0,0,1,
2011,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,35,SFO,WR,84,16,2,50,28,434,15.5,3,22,55,1.8,27.1,56.00%,8.7,,,,,,,,,28,15.5,434,3,1,4,
Career,,,,,218,193,1741,982,15292,15.6,156,704,82,4.5,70.1,56.40%,8.8,25,159,0,9,25,6.4,0.7,0.1,1007,15.3,15451,156,16,162,
8 yrs,,MIN,,,113,108,1012,587,9316,15.9,92,417,82,5.2,82.4,58.00%,9.2,23,159,0,9,25,6.9,1.4,0.2,610,15.5,9475,92,10,101,
4 yrs,,NWE,,,52,51,444,259,3904,15.1,50,188,76,5,75.1,58.30%,8.8,2,0,0,0,2,0,0,0,261,15,3904,50,5,45,
2 yrs,,OAK,,,29,28,219,102,1558,15.3,11,73,79,3.5,53.7,46.60%,7.1,,,,,,,,,102,15.3,1558,11,0,11,
1 yr,,SFO,,,16,2,50,28,434,15.5,3,22,55,1.8,27.1,56.00%,8.7,,,,,,,,,28,15.5,434,3,1,4,
1 yr,,TEN,,,8,4,16,6,80,13.3,0,4,26,0.8,10,37.50%,5,,,,,,,,,6,13.3,80,0,0,1,
