Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1975,22,DAL,DE,54,14,1,,,,,,,0,2,0,0,6,,2,
1976,23,DAL,LB,54,14,0,,,,,,,0,1,0,0,5,,4,
1977*,24,DAL,RDT,54,14,14,,,,,,,0,2,0,0,12.5,,10,PB
1978*+,25,DAL,RDT,54,16,16,,,,,,,,,,,16,,14,AP DPoY-3 AP1 PB
1979*+,26,DAL,RDT,54,15,14,,,,,,,0,1,0,0,5,,12,AP1 PB
1980*,27,DAL,RDT,54,16,16,,,,,,,,,,,6,,11,AP DPoY-3 AP2 PB
1981*+,28,DAL,RDT,54,16,16,,,,,,,,,,,8.5,,15,AP DPoY-3 AP1 PB
1982*+,29,DAL,RDT,54,9,9,,,,,,,0,1,0,0,2.5,,17,AP DPoY-2 AP1 PB
1983*+,30,DAL,RDT,54,16,16,,,,,,,0,1,0,0,12.5,,15,AP MVP-5 AP DPoY-2 AP1 PB
1984*+,31,DAL,RDT,54,16,16,,,,,,,,,,,12.5,,18,AP DPoY-4 AP1 PB
1985*+,32,DAL,RDT,54,16,16,,,,,,,,,,,10.5,,15,AP1 PB
1986,33,DAL,RDT,54,16,16,,,,,,,0,2,0,0,6.5,,9,
1987,34,DAL,RDT,54,15,14,1,0,0,0,,,,,,,6,,7,
1988,35,DAL,DT,54,16,1,,,,,,,,,,,1.5,,1,
Career,,,,,209,165,1,0,0,0,,,0,10,0,0,111,,150,
