Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1996,21,BAL,LILB,52,14,13,1,0,0,0,,,,,,,2.5,110,95,15,,,,5,AP DRoY-6
1997*,22,BAL,MLB,52,16,16,1,18,0,18,,1,0,1,0,0,4,184,156,28,,,,13,AP2 PB
1998*,23,BAL,MLB,52,14,14,2,25,0,26,,1,0,0,0,0,3,120,101,19,,,,12,AP DPoY-6 AP2 PB
1999*+,24,BAL,MLB,52,16,16,3,97,0,60,8,0,1,0,0,0,3.5,165,130,35,19,,1,20,AP DPoY-3 AP1 PB
2000*+,25,BAL,MLB,52,16,16,2,1,0,1,6,0,0,3,0,0,3,137,108,29,14,,,23,AP MVP-5 AP DPoY-1 AP CPoY-7 AP1 PB
2001*+,26,BAL,MLB,52,16,16,3,115,0,64,10,1,0,1,0,0,3.5,162,114,48,13,,,19,AP DPoY-3 AP1 PB
2002,27,BAL,RILB,52,5,5,2,4,0,4,3,1,0,1,0,0,0,58,43,15,3,,,4,
2003*+,28,BAL,RILB,52,16,16,6,99,1,37,14,2,0,2,1,0,1.5,163,121,42,7,,,19,AP MVP-6 AP DPoY-1 AP CPoY-6 AP1 PB
2004*+,29,BAL,RILB,52,15,15,0,0,0,0,6,1,0,2,0,0,1,147,101,46,6,,,18,AP DPoY-5 AP1 PB
2005,30,BAL,MLB,52,6,6,1,0,0,0,2,0,0,1,0,0,1,46,38,8,1,,,4,
2006,31,BAL,MLB/RILB,52,14,14,2,27,0,27,8,1,0,1,0,0,5,103,80,23,8,9,,12,AP DPoY-5
2007*,32,BAL,LILB,52,14,14,2,35,1,35,10,2,0,1,0,0,2,121,83,38,1,2,,9,PB
2008*+,33,BAL,LILB,52,16,16,3,43,0,29,9,2,0,2,0,0,3.5,118,85,33,9,12,,20,AP1 PB
2009*+,34,BAL,RILB,52,16,16,0,9,0,9,8,2,0,1,1,0,3,134,95,39,10,7,,16,AP1 PB
2010*,35,BAL,RILB,52,16,16,2,26,1,24,4,2,0,3,1,0,2,139,102,37,4,4,,16,AP2 PB
2011*,36,BAL,RILB,52,12,12,1,4,0,4,7,2,0,0,0,0,2,95,72,23,3,4,,10,PB
2012,37,BAL,RILB,52,6,6,0,0,0,0,1,1,0,1,0,0,1,57,44,13,1,2,,4,
Career,,,,,228,227,31,503,3,64,96,19,1,20,3,0,41.5,2059,1568,491,99,40,1,224,
