Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1958,22,GNB,MLB/llb,33,12,8,1,2,0,2,,,0,2,0,0,,,,
1959,23,GNB,lb,66,12,1,,,,,,,0,2,10,0,,,,
1960,24,GNB,lb,66,12,6,3,90,1,43,,,0,1,0,0,1,,6,
1961,25,GNB,MLB,66,12,10,2,41,0,14,,,0,1,0,0,0.5,,6,
1962,26,GNB,MLB,66,14,14,4,56,0,28,,,1,4,0,0,2,,17,AP2
1963,27,GNB,MLB,66,12,12,2,8,0,8,,,1,1,0,0,2,,9,
1964*+,28,GNB,MLB,66,14,14,2,36,0,29,,,0,2,0,0,1.5,,13,AP1 PB
1965,29,GNB,MLB,66,12,12,1,21,0,21,,,0,3,18,0,1,,12,AP2
1966+,30,GNB,MLB,66,14,14,2,44,0,23,,,,,,,1.5,,15,AP1
1967,31,GNB,MLB,66,14,14,3,35,1,20,,,0,1,0,0,1.5,,14,AP2
1968,32,GNB,MLB,66,14,14,2,20,0,11,,,0,3,6,0,0,,8,
1969,33,GNB,MLB,66,14,14,2,32,0,20,,,,,,,3.5,,9,
1970,34,GNB,MLB,66,14,14,,,,,,,0,2,0,0,0,,7,
1971,35,GNB,lb,66,9,2,1,0,0,0,,,0,1,0,0,1.5,,2,
1972,36,GNB,lb,66,11,1,,,,,,,,,,,0,,2,
Career,,,,,190,150,25,385,2,43,,,2,23,34,0,16,,120,
