Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2001,23,IND,WR,87,13,9,49,27,345,12.8,0,19,43,2.1,26.5,55.10%,7,,,,,,,,,27,12.8,345,0,0,3,
2002,24,IND,WR,87,16,7,72,49,716,14.6,4,35,49,3.1,44.8,68.10%,9.9,,,,,,,,,49,14.6,716,4,2,7,
2003,25,IND,WR,87,16,16,107,68,838,12.3,7,50,57,4.3,52.4,63.60%,7.8,,,,,,,,,68,12.3,838,7,0,10,
2004,26,IND,WR,87,16,16,115,77,1210,15.7,12,59,71,4.8,75.6,67.00%,10.5,1,-4,0,0,-4,-4,-0.3,0.1,78,15.5,1206,12,0,15,
2005,27,IND,WR,87,16,16,122,83,1055,12.7,5,55,66,5.2,65.9,68.00%,8.6,,,,,,,,,83,12.7,1055,5,1,13,
2006*,28,IND,WR,87,16,16,137,86,1310,15.2,9,72,51,5.4,81.9,62.80%,9.6,,,,,,,,,86,15.2,1310,9,1,16,PB
2007*,29,IND,WR,87,16,16,156,104,1510,14.5,10,72,64,6.5,94.4,66.70%,9.7,1,4,0,0,4,4,0.3,0.1,105,14.4,1514,10,3,19,AP2 PB
2008*,30,IND,WR,87,16,16,131,82,1145,14,6,65,65,5.1,71.6,62.60%,8.7,,,,,,,,,82,14,1145,6,0,13,PB
2009*,31,IND,WR,87,16,16,149,100,1264,12.6,10,73,65,6.3,79,67.10%,8.5,,,,,,,,,100,12.6,1264,10,0,14,AP2 PB
2010*+,32,IND,WR,87,16,16,175,111,1355,12.2,6,72,50,6.9,84.7,63.40%,7.7,,,,,,,,,111,12.2,1355,6,1,13,AP1 PB
2011,33,IND,WR,87,16,16,132,75,960,12.8,4,50,56,4.7,60,56.80%,7.3,,,,,,,,,75,12.8,960,4,0,7,
2012*,34,IND,WR,87,16,15,195,106,1355,12.8,5,73,33,6.6,84.7,54.40%,6.9,1,-5,0,0,-5,-5,-0.3,0.1,107,12.6,1350,5,1,11,PB
2013,35,IND,WR,87,7,7,58,38,503,13.2,2,28,35,5.4,71.9,65.50%,8.7,1,5,0,0,5,5,0.7,0.1,39,13,508,2,0,5,
2014,36,IND,WR,87,15,15,116,64,779,12.2,2,40,80,4.3,51.9,55.20%,6.7,,,,,,,,,64,12.2,779,2,1,7,
Career,,,,,211,197,1714,1070,14345,13.4,82,763,80,5.1,68,62.40%,8.4,4,0,0,0,5,0,0,0,1074,13.4,14345,82,10,153,
