Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1985,24,PHI,LDE,91,13,12,,,,,,,0,2,0,0,13,100,,,,,,7,AP DRoY-2
1986*+,25,PHI,RDT/lde,92,16,16,,,,,,1,0,0,0,0,18,98,,,,,,19,AP1 PB
1987*+,26,PHI,LDE,92,12,12,,,,,,4,0,1,70,1,21,76,,,,,,15,AP DPoY-1 AP1 PB
1988*+,27,PHI,LDE,92,16,16,,,,,,1,0,2,0,0,18,133,,,,,,19,AP DPoY-2 AP1 PB
1989*+,28,PHI,LDE,92,16,16,,,,,,3,0,1,10,0,11,123,,,,,,18,AP DPoY-4 AP1 PB
1990*+,29,PHI,LDE,92,16,16,1,33,0,33,,4,0,1,0,0,14,83,,,,,,17,AP1 PB
1991*+,30,PHI,LDE,92,16,16,1,0,0,0,,2,0,3,8,0,15,100,,,,,,19,AP DPoY-3 AP1 PB
1992*,31,PHI,LDE,92,16,16,,,,,,3,0,1,37,1,14,81,,,,,,15,AP DPoY-8 AP2 PB
1993*,32,GNB,LDE,92,16,16,,,,,,3,0,2,10,0,13,79,,,,,,15,AP DPoY-2 AP2 PB
1994*,33,GNB,LDE,92,16,15,,,,,,2,0,1,0,0,8,49,35,14,,,,15,AP DPoY-8 AP2 PB
1995*+,34,GNB,LDE,92,15,13,,,,,,2,0,0,0,0,12,42,31,11,,,,15,AP DPoY-3 AP1 PB
1996*,35,GNB,LDE,92,16,16,1,46,0,46,,3,2,3,2,0,8.5,39,30,9,,,,18,AP2 PB
1997*,36,GNB,LDE,92,16,16,,,,,,0,0,2,0,0,11,46,31,15,,,,15,AP2 PB
1998*+,37,GNB,LDE,92,16,16,,,,,,4,0,0,0,0,16,46,33,13,,,,16,AP DPoY-1 AP CPoY-5 AP1 PB
1999,,Missed season - Retired,,,,,,,,,,,,,,,,,,,,,,,
2000,39,CAR,LDE,92,16,16,0,0,0,0,1,1,0,1,0,0,5.5,16,15,1,5,,,8,
Career,,,,,232,228,3,79,0,46,1,33,2,20,137,2,198,1111,175,63,5,,,231,
8 yrs,,PHI,,,121,120,2,33,0,33,,18,0,11,125,2,124,794,,0,,,,129,
6 yrs,,GNB,,,95,92,1,46,0,46,,14,2,8,12,0,68.5,301,160,62,,,,94,
1 yr,,CAR,,,16,16,0,0,0,0,1,1,0,1,0,0,5.5,16,15,1,5,,,8,
