Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1983,23,CHI,de,95,16,3,,,,,,1,0,0,0,0,3,12,,,,3,
1984*,24,CHI,RDE,95,16,10,,,,,,4,0,1,0,0,17.5,39,,,,14,AP2 PB
1985*+,25,CHI,RDE,95,16,16,2,10,1,9,,7,0,2,0,0,17,38,,,,20,AP1 PB
1986,26,CHI,RDE,95,15,14,,,,,,4,0,0,0,0,11.5,75,,,,9,
1987,27,CHI,RDE,95,12,12,,,,,,4,0,2,11,0,12.5,34,,,,6,
1988,28,CHI,RDE,95,13,12,,,,,,3,0,1,0,0,10.5,61,,,,14,AP2
1989,29,CHI,RDE,95,15,15,1,30,0,30,,2,0,2,0,0,9,70,,,,7,
1990*,30,CHI,RDE,95,16,16,3,21,0,15,,2,0,3,45,1,12,81,,,,16,AP2 PB
1991,31,CHI,RDE,95,16,16,1,4,0,4,,,0,1,0,0,10.5,84,,,,8,
1992,32,CHI,RDE,95,16,16,,,,,,6,0,1,0,0,8.5,82,,,,7,
1993*,33,CHI,RDE,95,16,16,1,24,0,24,,1,0,0,0,0,12.5,64,,,,12,PB
1994,34,SFO,de,95,2,2,,,,,,,,,,,2,8,7,1,,1,
1995,35,CHI,de,95,3,1,,,,,,,,,,,0,1,1,0,,1,
1996,36,IND,de,96,16,1,,,,,,2,0,0,0,0,6.5,15,13,2,1,2,
1997,37,PHI,de,95,15,0,,,,,,1,0,0,0,0,4.5,13,10,3,,2,
Career,,,,,203,150,8,89,1,30,,37,0,13,56,1,137.5,677,31,6,1,122,
12 yrs,,CHI,,,170,147,8,89,1,30,,34,0,13,56,1,124.5,641,1,0,,117,
1 yr,,IND,,,16,1,,,,,,2,0,0,0,0,6.5,15,13,2,1,2,
1 yr,,PHI,,,15,0,,,,,,1,0,0,0,0,4.5,13,10,3,,2,
1 yr,,SFO,,,2,2,,,,,,,,,,,2,8,7,1,,1,
