Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2001,22,NWE,RDE,93,13,10,0,0,0,0,1,0,0,1,0,0,3,45,25,20,5,,,6,
2002*,23,NWE,RDE,93,16,16,1,6,0,6,3,0,0,1,0,0,5.5,56,33,23,12,,,9,PB
2003*+,24,NWE,RDT,93,15,14,0,0,0,0,10,1,0,0,0,0,8,56,34,22,9,,,16,AP DPoY-2 AP1 PB
2004*+,25,NWE,RDE,93,15,15,0,0,0,0,1,1,0,1,68,1,5,40,25,15,5,,,15,AP1 PB
2005*+,26,NWE,RDE,93,12,12,0,0,0,0,4,1,0,1,0,0,4,47,36,11,8,,,12,AP1 PB
2006*,27,NWE,RDE,93,16,15,1,0,0,0,8,0,0,1,0,0,4,41,23,18,9,12,,16,AP2 PB
2007,28,NWE,rde,93,9,8,0,0,0,0,1,,,,,,1.5,23,15,8,5,8,,4,
2008,29,NWE,RDE,93,15,15,0,0,0,0,1,0,0,1,0,0,8,51,34,17,11,17,,8,
2009,30,OAK,LDE,92,16,16,0,0,0,0,3,1,0,0,0,0,4,47,30,17,8,12,,6,
2010*,31,OAK,LDT,92,13,13,0,0,0,0,2,0,0,1,13,0,5.5,48,36,12,10,13,,8,PB
2011*,32,OAK,LDT,92,16,15,0,0,0,0,3,,,,,,6,29,23,6,5,13,,10,AP2 PB
2012,33,OAK,LDT,92,8,8,0,0,0,0,2,0,0,1,0,0,3,15,12,3,4,4,,3,
Career,,,,,164,157,2,6,0,6,39,4,0,8,81,1,57.5,498,326,172,91,79,,113,
8 yrs,,NWE,,,111,105,2,6,0,6,29,3,0,6,68,1,39,359,225,134,64,37,,86,
4 yrs,,OAK,,,53,52,0,0,0,0,10,1,0,2,13,0,18.5,139,101,38,27,42,,27,
