Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2011,23,SEA,LCB,25,16,10,4,45,0,33,17,1,0,0,0,0,0,55,47,8,0,0,,6,
2012+,24,SEA,LCB,25,16,16,8,57,1,29,24,3,0,1,0,0,1,65,54,11,0,1,,20,AP1
2013*+,25,SEA,LCB,25,16,16,8,125,1,58,16,0,2,2,0,0,0,48,38,10,0,1,,21,AP DPoY-5 AP1 PB
2014*+,26,SEA,LCB,25,16,16,4,81,0,53,8,1,0,0,0,0,0,57,45,12,2,0,,18,AP1 PB
2015*,27,SEA,LCB,25,16,16,2,30,0,26,14,,,,,,0,50,33,17,1,0,,15,AP2 PB
2016*,28,SEA,LCB,25,16,16,4,37,0,31,13,0,0,1,14,0,0,58,38,20,2,0,,9,PB
2017,29,SEA,LCB,25,9,9,2,20,0,19,7,0,0,1,0,0,0,35,25,10,1,0,,4,
2018,30,SFO,LCB,25,14,14,0,0,0,0,4,0,0,1,0,0,1,37,30,7,3,1,,5,
2019*,31,SFO,LCB,25,15,15,3,65,1,31,11,,,,,,0,61,48,13,2,0,,12,AP CPoY-5 AP2 PB
2020,32,SFO,lcb,25,5,5,1,18,0,18,1,,,,,,0,18,16,2,1,0,,2,
2021,33,TAM,db,5,5,3,1,0,0,0,1,0,0,1,4,0,0,11,11,0,0,0,,2,
Career,,,,,144,136,37,478,3,58,116,5,2,7,18,0,2,495,385,110,12,3,,114,
7 yrs,,SEA,,,105,99,32,395,2,58,99,5,2,5,14,0,1,368,280,88,6,2,,93,
3 yrs,,SFO,,,34,34,4,83,1,31,16,0,0,1,0,0,1,116,94,22,6,1,,19,
1 yr,,TAM,,,5,3,1,0,0,0,1,0,0,1,4,0,0,11,11,0,0,0,,2,
