Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1981,23,NOR,LOLB,57,16,16,,,,,,2,0,1,0,0,8,125,,,,6,
1982,24,NOR,LOLB,57,9,9,1,32,0,32,,1,0,2,0,0,4.5,47,,,,10,
1983*,25,NOR,LOLB,57,16,16,1,0,0,0,,,1,2,-2,0,12,102,,,,13,PB
1984*,26,NOR,LOLB,57,16,16,1,14,0,14,,4,1,4,4,0,12,124,,,,13,AP2 PB
1985*,27,NOR,LOLB,57,16,16,,,,,,,,,,,11,107,,,,10,AP2 PB
1986*,28,NOR,LOLB,57,16,16,1,1,0,1,,6,0,1,0,0,9,114,,,,14,AP2 PB
1987,29,NOR,LOLB,57,12,12,2,4,0,4,,3,0,0,0,0,9.5,74,,,,8,
1988,30,NOR,LOLB,57,16,16,1,16,0,16,,2,0,0,0,0,7,92,,,1,9,
1989,31,NOR,LOLB,57,14,14,,,,,,3,0,0,0,0,7.5,47,,,,7,
1990,32,NOR,LOLB,57,16,16,,,,,,4,0,7,0,0,6,68,,,,11,
1991,33,NOR,LOLB,57,16,16,,,,,,3,0,4,4,0,11.5,59,,,,12,
1992*,34,NOR,LOLB,57,16,16,,,,,,6,0,3,15,0,13.5,66,,,,17,AP DPoY-5 AP2 PB
1993*,35,NOR,LOLB,57,16,16,,,,,,4,0,3,3,0,11.5,79,,,,14,AP2 PB
1994,36,SFO,RDE,57,16,14,,,,,,2,0,2,5,0,3.5,40,37,3,,6,
1995,37,SFO,RDE,57,16,15,1,1,0,1,,,,,,,9.5,36,32,4,,7,
Career,,,,,227,224,8,68,0,32,,40,2,29,29,0,136,1180,69,7,1,157,
13 yrs,,NOR,,,195,195,7,67,0,32,,38,2,27,24,0,123,1104,,0,1,144,
2 yrs,,SFO,,,32,29,1,1,0,1,,2,0,2,5,0,13,76,69,7,,13,
