Year,Age,Tm,Pos,No.,G,GS,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1992*,23,SFO,RB,32,14,13,206,1013,9,,43,4.9,72.4,14.7,52,43,405,9.4,2,,35,3.1,28.9,82.70%,7.8,249,5.7,1418,11,2,15,AP OPoY-6 PB
1993*,24,SFO,RB,32,13,13,208,950,10,,39,4.6,73.1,16,45,31,326,10.5,1,,48,2.4,25.1,68.90%,7.2,239,5.3,1276,11,5,13,PB
1994*,25,SFO,RB,32,16,16,239,877,6,49,23,3.7,54.8,14.9,88,66,719,10.9,5,27,65,4.1,44.9,75.00%,8.2,305,5.2,1596,11,8,18,PB
1995*,26,PHI,RB,32,16,16,337,1273,11,76,57,3.8,79.6,21.1,93,62,434,7,1,19,24,3.9,27.1,66.70%,4.7,399,4.3,1707,12,6,11,PB
1996*,27,PHI,RB,32,16,16,353,1411,13,72,56,4,88.2,22.1,70,51,444,8.7,0,19,36,3.2,27.8,72.90%,6.3,404,4.6,1855,13,5,14,PB
1997,28,PHI,RB,32,16,16,285,1110,7,53,28,3.9,69.4,17.8,73,48,440,9.2,0,20,37,3,27.5,65.80%,6,333,4.7,1550,7,3,10,
1998,29,SEA,RB,32,16,16,319,1239,9,76,39,3.9,77.4,19.9,73,52,373,7.2,0,15,24,3.3,23.3,71.20%,5.1,371,4.3,1612,9,4,12,
1999,30,SEA,RB,32,16,16,325,1210,5,51,45,3.7,75.6,20.3,62,40,387,9.7,2,17,25,2.5,24.2,64.50%,6.2,365,4.4,1597,7,4,11,
2000,31,SEA,RB,32,16,16,278,1242,7,60,55,4.5,77.6,17.4,92,63,613,9.7,2,28,59,3.9,38.3,68.50%,6.7,341,5.4,1855,9,5,15,AP CPoY-12
2001,32,SEA,rb,32,5,4,72,318,1,15,40,4.4,63.6,14.4,22,11,107,9.7,0,4,34,2.2,21.4,50.00%,4.9,83,5.1,425,1,1,3,
Career,,,,,144,142,2622,10643,78,452,57,4.1,73.9,18.2,670,467,4248,9.1,13,149,65,3.2,29.5,69.70%,6.3,3089,4.8,14891,91,43,122,
4 yrs,,SEA,,,53,52,994,4009,22,202,55,4,75.6,18.8,249,166,1480,8.9,4,64,59,3.1,27.9,66.70%,5.9,1160,4.7,5489,26,14,41,
3 yrs,,PHI,,,48,48,975,3794,31,201,57,3.9,79,20.3,236,161,1318,8.2,1,58,37,3.4,27.5,68.20%,5.6,1136,4.5,5112,32,14,35,
3 yrs,,SFO,,,43,42,653,2840,25,49,43,4.3,66,15.2,185,140,1450,10.4,8,27,65,3.3,33.7,75.70%,7.8,793,5.4,4290,33,15,46,
