Year,Age,Tm,Pos,No.,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Rush,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1995,25,DEN,wr,80,16,1,9,6,152,25.3,1,5,43,0.4,9.5,66.70%,16.9,,,,,,,,,6,25.3,152,1,0,2,
1996,26,DEN,wr,80,10,1,28,16,237,14.8,2,10,49,1.6,23.7,57.10%,8.5,1,1,0,0,1,1,0.1,0.1,17,14,238,2,1,3,
1997,27,DEN,WR,80,16,16,131,70,1180,16.9,12,52,78,4.4,73.8,53.40%,9,5,16,0,4,21,3.2,1,0.3,75,15.9,1196,12,3,15,
1998,28,DEN,WR,80,16,16,139,86,1222,14.2,6,61,58,5.4,76.4,61.90%,8.8,6,63,0,3,37,10.5,3.9,0.4,92,14,1285,6,0,17,
1999,29,DEN,WR,80,15,15,139,79,1020,12.9,4,48,71,5.3,68,56.80%,7.3,,,,,,,,,79,12.9,1020,4,1,9,
2000*,30,DEN,WR,80,16,16,173,100,1602,16,8,77,49,6.3,100.1,57.80%,9.3,6,99,1,3,50,16.5,6.2,0.4,106,16,1701,9,1,18,AP2 PB
2001*,31,DEN,WR,80,15,14,172,113,1343,11.9,11,75,65,7.5,89.5,65.70%,7.8,3,27,0,3,17,9,1.8,0.2,116,11.8,1370,11,1,15,AP2 PB
2002,32,DEN,WR,80,16,16,147,89,1027,11.5,5,54,46,5.6,64.2,60.50%,7,6,9,0,0,9,1.5,0.6,0.4,95,10.9,1036,5,1,10,
2003,33,DEN,WR,80,15,15,114,74,845,11.4,3,48,38,4.9,56.3,64.90%,7.4,10,98,0,4,26,9.8,6.5,0.7,84,11.2,943,3,0,12,
2004,34,DEN,WR,80,16,16,136,79,1144,14.5,7,52,85,4.9,71.5,58.10%,8.4,5,33,0,2,14,6.6,2.1,0.3,84,14,1177,7,4,10,
2005*,35,DEN,WR,80,16,16,126,85,1105,13,6,55,72,5.3,69.1,67.50%,8.8,1,7,0,0,7,7,0.4,0.1,86,12.9,1112,6,2,13,PB
2006,36,DEN,WR,80,16,16,94,52,512,9.8,3,34,20,3.3,32,55.30%,5.4,1,-5,0,0,-5,-5,-0.3,0.1,53,9.6,507,3,2,5,
Career,,,,,183,158,1408,849,11389,13.4,68,571,85,4.6,62.2,60.30%,8.1,44,348,1,19,50,7.9,1.9,0.2,893,13.1,11737,69,16,129,
