Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1987,22,PIT,DB,26,8,0,1,45,1,45,,,3,2,0,0,0,20,,,,,,0,
1988,23,PIT,RCB,26,16,16,4,98,0,29,,1,3,3,2,0,0.5,88,,,,,,6,
1989*+,24,PIT,RCB,26,15,14,3,39,0,39,,4,3,4,1,0,0,80,,,,,,18,AP1 PB
1990*+,25,PIT,RCB,26,16,16,5,67,0,34,,1,3,3,0,0,0,66,,,,,,20,AP1 PB
1991*,26,PIT,RCB,26,15,15,3,72,0,41,,1,3,3,15,0,1,71,,,,,,9,PB
1992*+,27,PIT,LCB,26,16,16,4,90,0,57,,4,2,1,9,0,6,100,,,,,,19,AP1 PB
1993*+,28,PIT,LCB,26,16,16,8,138,1,63,,2,2,1,0,0,2,95,,,,,,16,AP DPoY-1 AP1 PB
1994*+,29,PIT,LCB,26,15,15,4,109,2,37,,3,2,1,0,0,3,83,67,16,,,,20,AP DPoY-2 AP1 PB
1995,30,PIT,DB,26,1,1,,,,,,,,,,,0,1,0,1,,,,0,
1996*,31,PIT,LCB,26,16,16,6,121,1,43,,0,1,3,42,1,1,67,57,10,,,,12,AP DPoY-7 PB
1997,32,SFO,LCB,26,14,14,3,81,0,41,,1,0,1,0,0,0,48,43,5,,,,5,
1998,33,BAL,LCB,26,16,16,6,108,2,60,,,,,,,0,88,76,12,,,,7,
1999*,34,BAL,FS,26,16,16,7,195,2,66,18,0,1,2,0,0,0,65,53,12,3,,,12,PB
2000*,35,BAL,FS,26,16,16,4,20,0,18,10,2,0,3,4,0,0,77,67,10,3,,,17,AP2 PB
2001*,36,BAL,FS,26,16,16,3,57,1,47,12,1,0,1,0,0,0,76,56,20,3,,,11,PB
2002*+,37,OAK,FS,26,16,16,8,225,2,98,16,0,0,3,64,0,0,82,70,12,0,,,16,AP1 PB
2003,38,OAK,FS,26,10,10,2,18,0,13,3,0,0,1,0,0,0,51,41,10,1,,,4,
Career,,,,,238,229,71,1483,12,98,59,20,23,32,137,1,13.5,1158,530,108,10,,,192,
10 yrs,,PIT,,,134,125,38,779,5,63,,16,22,21,69,1,13.5,671,124,27,,,,120,
4 yrs,,BAL,,,64,64,20,380,5,66,40,3,1,6,4,0,0,306,252,54,9,,,47,
2 yrs,,OAK,,,26,26,10,243,2,98,19,0,0,4,64,0,0,133,111,22,1,,,20,
1 yr,,SFO,,,14,14,3,81,0,41,,1,0,1,0,0,0,48,43,5,,,,5,
