Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1969,27,DAL,qb,12,6,1,1-0-0,23,47,48.9,421,1,2.1,2,4.3,75,9,7.5,18.3,70.2,69.5,12,106,20.3,5.34,4.15,,,2,
1970,28,DAL,qb,12,8,3,2-1-0,44,82,53.7,542,2,2.4,8,9.8,43,6.6,2.7,12.3,67.8,42.9,19,130,18.8,4.08,0.91,,,5,
1971*,29,DAL,QB,12,13,10,10-0-0,126,211,59.7,1882,15,7.1,4,1.9,85,8.9,9.5,14.9,144.8,104.8,23,175,9.8,7.29,7.81,1,2,14,AP MVP-2 PB
1972,30,DAL,qb,12,4,0,,9,20,45,98,0,0,2,10,21,4.9,0.4,10.9,24.5,20.4,8,59,28.6,1.39,-1.82,,,1,
1973,31,DAL,QB,12,14,14,10-4-0,179,286,62.6,2428,23,8,15,5.2,53,8.5,7.7,13.6,173.4,94.6,43,269,13.1,6.56,5.91,0,1,16,
1974,32,DAL,QB,12,14,14,8-6-0,190,360,52.8,2552,11,3.1,15,4.2,58,7.1,5.8,13.4,182.3,68.4,45,309,11.1,5.54,4.41,2,3,13,
1975*,33,DAL,QB,12,13,13,9-4-0,198,348,56.9,2666,17,4.9,16,4.6,62,7.7,6.6,13.5,205.1,78.5,36,213,9.4,6.39,5.4,2,3,14,PB
1976*,34,DAL,QB,12,14,14,11-3-0,208,369,56.4,2715,14,3.8,11,3,53,7.4,6.8,13.1,193.9,79.9,29,215,7.3,6.28,5.74,1,2,14,PB
1977*,35,DAL,QB,12,14,14,12-2-0,210,361,58.2,2620,18,5,9,2.5,67,7.3,7.1,12.5,187.1,87,30,219,7.7,6.14,6.03,2,3,17,PB
1978*,36,DAL,QB,12,15,15,11-4-0,231,413,55.9,3190,25,6.1,16,3.9,91,7.7,7.2,13.8,212.7,84.9,32,219,7.2,6.68,6.18,1,3,17,AP MVP-4 PB
1979*,37,DAL,QB,12,16,16,11-5-0,267,461,57.9,3586,27,5.9,11,2.4,75,7.8,7.9,13.4,224.1,92.3,36,240,7.2,6.73,6.82,4,4,14,AP MVP-4 AP OPoY-4 PB
Career,,,,,131,114,85-29-0,1685,2958,57,22700,153,5.2,109,3.7,91,7.7,7.1,13.5,173.3,83.4,313,2154,9.6,6.28,5.72,13,21,127,
