Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1969,22,STL,LCB,22,13,12,3,44,0,44,,,,,,,0,,4,AP DRoY-2
1970*,23,STL,RCB,22,14,14,6,50,0,41,,,0,1,0,0,0,,12,PB
1971*,24,STL,RCB/fs,22,13,13,2,11,0,6,,,2,2,0,0,0,,10,PB
1972,25,STL,FS,22,14,13,,,,,,,2,2,0,0,0,,7,
1973,26,STL,RCB,22,11,11,1,0,0,0,,,0,3,17,0,0,,4,
1974*,27,STL,RCB,22,14,14,2,54,1,53,,,1,1,7,0,0,,11,AP2 PB
1975*+,28,STL,RCB,22,14,13,6,31,0,31,,,0,4,10,0,0,,16,AP1 PB
1976*+,29,STL,RCB,22,14,14,4,31,0,26,,,1,4,4,0,0,,13,AP1 PB
1977*+,30,STL,RCB,22,14,14,5,44,0,41,,,0,3,4,0,0,,11,AP1 PB
1978,31,STL,RCB,22,16,15,4,3,0,3,,,,,,,0,,7,
1979*,32,STL,RCB,22,16,16,2,8,1,9,,,1,2,21,0,0,,10,PB
1980,33,STL,RCB,22,16,16,1,25,0,25,,,,,,,1,,7,
1981,34,STL,RCB,22,16,9,4,8,0,6,,,,,,,0,,4,
1982,35,STL,db,22,8,1,,,,,,,,,,,0,,2,
Career,,,,,193,175,40,309,2,53,,,7,22,63,0,1,,118,
