Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1962,22,RAM,qb,18,6,4,0-3-1,57,101,56.4,670,3,3,2,2,65,6.6,6.3,11.8,111.7,78.4,,,,,,1,0,2,
1963,23,RAM,QB,18,12,9,5-4-0,130,281,46.3,1947,8,2.8,11,3.9,77,6.9,5.7,15,162.3,62.7,43,337,13.3,4.97,3.94,3,3,7,
1964,24,RAM,qb,18,7,6,3-3-0,65,143,45.5,1236,9,6.3,5,3.5,70,8.6,8.3,19,176.6,82.4,23,183,13.9,6.34,6.07,,,4,
1965,25,RAM,qb,18,7,4,3-1-0,83,173,48,1321,11,6.4,5,2.9,60,7.6,7.6,15.9,188.7,83,14,97,7.5,6.55,6.52,,,6,
1966,26,RAM,QB,18,14,14,8-6-0,217,397,54.7,2540,10,2.5,16,4,84,6.4,5.1,11.7,181.4,65.9,48,319,10.8,4.99,3.82,,,10,
1967*,27,RAM,QB,18,14,14,11-1-2,196,371,52.8,2779,25,6.7,13,3.5,80,7.5,7.3,14.2,198.5,85.2,24,213,6.1,6.5,6.28,3,1,15,PB
1968*,28,RAM,QB,18,14,14,10-3-1,184,366,50.3,2364,19,5.2,16,4.4,60,6.5,5.5,12.8,168.9,70,27,226,6.9,5.44,4.58,2,3,10,PB
1969*+,29,RAM,QB,18,14,14,11-3-0,217,399,54.4,2549,24,6,7,1.8,93,6.4,6.8,11.7,182.1,86.8,14,112,3.4,5.9,6.3,1,1,13,AP MVP-1 UPI MVP-1 AP1 PB
1970,30,RAM,QB,18,14,14,9-4-1,211,407,51.8,2552,16,3.9,12,2.9,71,6.3,5.7,12.1,182.3,72.2,20,134,4.7,5.66,5.15,1,1,11,
1971,31,RAM,QB,18,14,14,8-5-1,180,352,51.1,2238,17,4.8,10,2.8,68,6.4,6,12.4,159.9,75.4,25,200,6.6,5.41,5.11,2,1,12,
1972,32,RAM,QB,18,14,12,6-6-0,165,323,51.1,2027,12,3.7,15,4.6,57,6.3,4.9,12.3,144.8,63.8,12,102,3.6,5.75,4.45,0,1,9,
1973*,33,PHI,QB,5,14,14,5-8-1,270,460,58.7,3219,23,5,12,2.6,80,7,6.8,11.9,229.9,86,31,219,6.3,6.11,5.95,3,2,15,PB
1974,34,PHI,QB,5,11,11,4-7-0,193,338,57.1,1867,9,2.7,12,3.6,64,5.5,4.5,9.7,169.7,66.8,35,259,9.4,4.31,3.35,0,1,8,
1975,35,PHI,QB,5,11,9,2-7-0,151,292,51.7,1644,13,4.5,11,3.8,62,5.6,4.8,10.9,149.5,67.8,18,131,5.8,4.88,4.12,0,1,6,
1976,36,PHI,qb,18,4,4,1-3-0,46,92,50,476,2,2.2,2,2.2,34,5.2,4.6,10.3,119,63.5,13,111,12.4,3.48,3,,,2,
1977,37,PHI,qb,18,13,0,,1,3,33.3,15,0,0,0,0,15,5,5,15,1.2,50.7,0,0,0,5,5,,,0,
Career,,,,,183,157,86-64-7,2366,4498,52.6,29444,201,4.5,149,3.3,93,6.5,5.9,12.4,160.9,74.3,347,2643,7.2,5.53,4.98,16,15,130,
11 yrs,,RAM,,,130,119,74-39-6,1705,3313,51.5,22223,154,4.6,112,3.4,93,6.7,6.1,13,170.9,74.3,250,1923,7.2,5.67,5.11,13,11,99,
5 yrs,,PHI,,,53,38,12-25-1,661,1185,55.8,7221,47,4,37,3.1,80,6.1,5.5,10.9,136.2,74.2,97,720,7.6,5.07,4.51,3,4,31,
