Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Sfty,AV,Awards
1961,22,STL,rt,66,13,5,,,,,,,,,,,0,,2,
1962,23,HOU,de,84,4,0,,,,,,,,,,,1,,2,
1963,24,BUF,de,72,12,0,,,,,,,,,,,0,,4,
1964,25,BUF,LDE,72,14,14,1,0,0,0,,,,,,,5.5,2,9,
1965*,26,BUF,LDE,72,14,14,1,24,0,24,,,0,5,0,0,2,,11,PB
1966+,27,BUF,LDE,72,14,14,1,4,0,4,,,,,,,6.5,,13,AP1
1967*,28,BUF,LDE,72,13,13,1,5,0,5,,,,,,,6,,12,AP2 PB
1968,29,BUF,LDE,72,14,14,2,47,0,42,,,0,2,10,0,6,,11,AP2
1969,30,BUF,LDE,72,14,14,,,,,,,,,,,5,,5,
1970,31,BUF,LDE,72,14,13,,,,,,,,,,,3,,6,
1971,32,WAS,LDE,79,14,14,3,18,1,18,,,,,,,4.5,,11,
1972,33,WAS,LDE,79,14,14,,,,,,,,,,,6,,9,
1973,34,WAS,LDE,79,14,14,,,,,,,,,,,6.5,,9,
1974,35,WAS,LDE,79,14,13,,,,,,,0,2,0,0,4.5,,8,
1975,36,WAS,LDE,79,14,14,,,,,,,0,2,15,1,5.5,,9,
1976,37,WAS,LDE,79,14,14,,,,,,,0,2,0,0,9.5,1,9,
1977,38,WAS,LDE,79,14,14,2,15,0,15,,,,,,,6,,9,
1978,39,WAS,LDE,79,16,10,1,2,0,2,,,0,1,0,0,0,,5,
Career,,,,,240,208,12,115,1,42,,,0,14,25,1,77.5,3,144,
8 yrs,,BUF,,,109,96,6,80,0,42,,,0,7,10,0,34,2,71,
8 yrs,,WAS,,,114,107,6,35,1,18,,,0,7,15,1,42.5,1,69,
1 yr,,HOU,,,4,0,,,,,,,,,,,1,,2,
1 yr,,STL,,,13,5,,,,,,,,,,,0,,2,
