Year,Age,Tm,Pos,No.,G,GS,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Rush,Yds,TD,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1968,22,MIN,t,73,14,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,3,
1969,23,MIN,rt,73,11,6,0,0,,0,0,0,0,,,,,,,,0,,0,0,,3,
1970,24,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,7,
1971*+,25,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,10,AP1 PB
1972*+,26,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,13,AP1 PB
1973*+,27,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,13,AP1 PB
1974*+,28,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,17,AP1 PB
1975*+,29,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,17,AP1 PB
1976*+,30,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,0,15,AP1 PB
1977*,31,MIN,RT,73,14,14,0,0,,0,0,0,0,,,,,,,,0,,0,0,,10,AP2 PB
1978,32,MIN,RT,73,16,16,0,0,,0,0,0,0,,,,,,,,0,,0,0,,7,
1979,33,MIN,RT,73,16,16,0,0,,0,0,0,0,,,,,,,,0,,0,0,0,6,
1980,34,MIN,RT,73,14,14,1,5,5,0,5,0.1,0.4,,,,,,,,1,5,5,0,0,7,
1981,35,MIN,RT,73,16,16,0,0,,0,0,0,0,,,,,,,,0,,0,0,,7,
1982,36,RAM,t,73,8,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,1,
Career,,,,,207,180,1,5,5,0,5,0,0,,,,,,,,1,5,5,0,0,136,
14 yrs,,MIN,,,199,180,1,5,5,0,5,0,0,,,,,,,,1,5,5,0,0,135,
1 yr,,RAM,,,8,0,0,0,,0,0,0,0,,,,,,,,0,,0,0,,1,
