Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
1997,22,TAM,db,20,1,0,,,,,,,,,,,0,4,4,0,,,,0,
1998,23,TAM,RCB,20,16,9,2,67,0,56,,2,0,0,0,0,3,70,59,11,,,,6,
1999,24,TAM,RCB,20,16,15,2,60,0,43,18,,,,,,1,78,62,16,5,,,7,
2000,25,TAM,RCB,20,16,16,2,46,1,37,13,1,0,1,24,1,5.5,87,72,15,7,,,7,
2001*+,26,TAM,RCB,20,16,16,10,86,1,36,24,1,0,2,0,0,1,72,59,13,6,,,15,AP1 PB
2002,27,TAM,RCB,20,16,16,2,9,0,9,20,,,,,,3,79,67,12,9,,,14,AP2
2003,28,TAM,LCB/rcb,20,16,16,2,53,1,29,6,3,0,1,0,0,1.5,100,81,19,7,,,8,
2004*+,29,TAM,RCB,20,16,16,3,23,0,23,13,1,0,2,27,2,3,99,84,15,8,,,17,AP1 PB
2005*+,30,TAM,RCB,20,16,16,5,105,0,42,20,0,0,1,4,0,2,99,83,16,2,,,17,AP1 PB
2006*,31,TAM,RCB,20,16,16,3,103,2,66,16,2,0,0,0,0,0,100,85,15,5,1,,12,AP2 PB
2007,32,TAM,LCB,20,16,16,2,32,1,29,14,1,1,2,33,1,1,58,48,10,1,1,,10,AP DPoY-7
2008*,33,TAM,RCB,20,16,16,4,69,1,65,12,0,0,1,2,0,2,75,67,8,5,6,,11,PB
2009,34,TAM,RCB,20,16,16,0,0,0,0,6,2,0,1,0,0,2,77,69,8,9,4,,6,
2010,35,TAM,RCB,20,16,16,3,98,0,64,13,,,,,,1,82,66,16,10,5,,7,
2011,36,TAM,RCB,20,16,16,3,12,0,12,9,1,0,1,0,0,1,79,67,12,6,1,1,5,
2012,37,TAM,FS,20,16,16,4,160,1,78,13,1,0,0,0,0,1,92,71,21,8,0,,6,
Career,,,,,241,232,47,923,8,78,197,15,1,12,90,4,28,1251,1044,207,88,18,1,148,
