Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1981*+,22,SFO,LCB,42,16,16,7,117,3,41,,,1,2,0,0,0,89,,,,17,AP MVP-6 AP DRoY-2 AP DPoY-6 AP1 PB
1982*,23,SFO,LCB,42,9,9,2,95,1,83,,1,0,0,0,0,0,68,,,,11,PB
1983*,24,SFO,LCB,42,15,14,4,22,0,22,,,0,1,0,0,1,108,,,,11,AP DPoY-13 PB
1984*,25,SFO,LCB,42,12,11,4,26,0,15,,,,,,,1,51,,,,12,PB
1985,26,SFO,LCB/FS,42,16,16,6,68,0,25,,1,0,2,0,0,1.5,104,,,,10,
1986*+,27,SFO,FS,42,14,14,10,134,1,57,,3,0,0,0,0,2,77,,,,17,AP1 PB
1987*+,28,SFO,FS,42,12,12,5,62,0,34,,,0,2,33,0,0,55,,,,16,AP1 PB
1988*,29,SFO,FS,42,13,12,5,59,0,44,,3,0,4,3,0,0,74,,,,11,AP2 PB
1989*+,30,SFO,FS,42,11,11,5,34,0,28,,,,,,,0,42,,,,15,AP1 PB
1990*+,31,SFO,FS,42,11,11,3,26,0,15,,,0,1,3,0,0,53,,,,14,AP DPoY-3 AP1 PB
1991*+,32,RAI,SS,42,16,16,8,52,0,27,,1,0,1,4,0,1,93,,,,13,AP DPoY-4 AP1 PB
1992,33,RAI,SS,42,16,16,1,0,0,0,,1,0,1,0,0,0,103,,,,7,
1993,34,NYJ,FS,42,16,16,3,35,0,29,,4,0,2,0,0,1,123,,,,8,
1994,35,NYJ,FS,42,15,15,,,,,,2,0,1,0,0,1,106,73,33,,6,
Career,,,,,192,189,63,730,5,83,,16,1,17,43,0,8.5,1146,73,33,,168,
10 yrs,,SFO,,,129,126,51,643,5,83,,8,1,12,39,0,5.5,721,,0,,134,
2 yrs,,NYJ,,,31,31,3,35,0,29,,6,0,3,0,0,2,229,73,33,,14,
2 yrs,,RAI,,,32,32,9,52,0,27,,2,0,2,4,0,1,196,,0,,20,
