Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2012*,24,SEA,QB,3,16,16,11-5-0,252,393,64.1,3118,26,6.6,10,2.5,153,67,7.9,8.1,12.4,194.9,100,72.7,33,203,7.7,6.84,7.01,3,4,16,AP ORoY-3 PB
2013*,25,SEA,QB,3,16,16,13-3-0,257,407,63.1,3357,26,6.4,9,2.2,157,80,8.2,8.5,13.1,209.8,101.2,67.2,44,272,9.8,6.84,7.1,3,4,17,AP OPoY-4 PB
2014*,26,SEA,QB,3,16,16,12-4-0,285,452,63.1,3475,20,4.4,7,1.5,161,80,7.7,7.9,12.2,217.2,95,71.5,42,242,8.5,6.54,6.72,1,4,19,PB
2015*,27,SEA,QB,3,16,16,10-6-0,329,483,68.1,4024,34,7,8,1.7,190,80,8.3,9,12.2,251.5,110.1,68.6,45,265,8.5,7.12,7.73,2,2,19,AP OPoY-3 PB
2016,28,SEA,QB,3,16,16,10-5-1,353,546,64.7,4219,21,3.8,11,2,193,59,7.7,7.6,12,263.7,92.6,57.1,41,293,7,6.69,6.56,4,3,14,
2017*,29,SEA,QB,3,16,16,9-7-0,339,553,61.3,3983,34,6.1,11,2,189,74,7.2,7.5,11.7,248.9,95.4,61.9,43,322,7.2,6.14,6.45,2,2,15,PB
2018*,30,SEA,QB,3,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,2,4,14,PB
2019*,31,SEA,QB,3,16,16,11-5-0,341,516,66.1,4110,31,6,5,1,190,60,8,8.7,12.1,256.9,106.3,71.5,48,319,8.5,6.72,7.42,4,5,15,AP OPoY-4 AP2 PB
2020*,32,SEA,QB,3,16,16,12-4-0,384,558,68.8,4212,40,7.2,13,2.3,213,62,7.5,7.9,11,263.3,105.1,67.1,47,301,7.8,6.46,6.82,3,3,17,PB
2021*,33,SEA,QB,3,14,14,6-8-0,259,400,64.8,3113,25,6.3,6,1.5,135,69,7.8,8.4,12,222.4,103.1,54.7,33,266,7.6,6.58,7.11,0,1,12,PB
2022,34,DEN,QB,3,6,6,2-4-0,116,198,58.6,1442,5,2.5,3,1.5,58,67,7.3,7.1,12.4,240.3,83.4,35.7,20,127,9.2,6.03,5.87,2,2,,
Career,,,,,164,164,106-57-1,3195,4933,64.8,38501,297,6,90,1.8,1801,80,7.8,8.2,12.1,234.8,101,,447,2965,8.3,6.61,6.96,26,34,158,
10 yrs,,SEA,,,158,158,104-53-1,3079,4735,65,37059,292,6.2,87,1.8,1743,80,7.8,8.2,12,234.6,101.8,,427,2838,8.3,6.63,7,24,32,158,
1 yr,,DEN,,,6,6,2-4-0,116,198,58.6,1442,5,2.5,3,1.5,58,67,7.3,7.1,12.4,240.3,83.4,,20,127,9.2,6.03,5.87,2,2,,
