Year,Age,Tm,Pos,No.,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,Sfty,AV,Awards
1986,27,NOR,LILB,51,16,13,,,,,,1,0,1,0,0,0,92,,,,6,
1987*,28,NOR,LILB,51,12,12,,,,,,1,0,3,0,0,0,58,,,,10,PB
1988*,29,NOR,LILB,51,16,16,,,,,,,0,4,0,0,0,105,,,,12,PB
1989,30,NOR,LILB,51,16,15,,,,,,2,0,1,0,0,3,95,,,,7,
1990,31,NOR,LILB,51,16,14,,,,,,2,0,1,0,0,0.5,112,,,,7,
1991*,32,NOR,LILB,51,16,16,2,13,0,8,,2,0,2,0,0,1,102,,,,18,AP DPoY-8 AP2 PB
1992*,33,NOR,LILB,51,16,16,1,10,0,10,,4,0,3,76,1,3,130,,,,17,AP2 PB
1993,34,NOR,lilb,51,9,7,,,,,,2,0,1,30,1,2,85,,,,4,
1994,35,NOR,LILB,51,16,16,1,10,0,10,,2,0,1,0,0,1,155,115,40,,7,
1995,36,CAR,LILB,51,16,16,5,58,1,36,,5,0,4,7,0,4.5,110,86,24,,13,AP DPoY-3
1996*+,37,CAR,LILB,51,16,16,1,10,0,10,,0,0,2,41,1,5.5,122,90,32,,18,AP DPoY-4 AP1 PB
1997,38,CAR,LILB,51,16,16,1,18,0,18,,1,1,0,0,0,0,99,72,27,,8,
Career,,,,,181,173,11,119,1,36,,22,1,23,154,3,20.5,1265,363,123,,127,
9 yrs,,NOR,,,133,125,4,33,0,10,,16,0,17,106,2,10.5,934,115,40,,88,
3 yrs,,CAR,,,48,48,7,86,1,36,,6,1,6,48,1,10,331,248,83,,39,
